titulo,letra
Até o Fim,"Não vim até aqui pra desistir agora
Entendo você se você quiser ir embora
Não vai ser a primeira vez nas últimas 24 horas
Mas eu não vim até aqui pra desistir agora

Minhas raízes estão no ar, minha casa é qualquer lugar
Se depender de mim eu vou até o fim
Voando sem instrumentos ao sabor do vento
Se depender de mim eu vou até o fim, até o fim

Não vim até aqui pra desistir agora
Entendo você se você quiser ir embora
Não vai ser a primeira vez em menos de 24 horas
A ilha não se curva noite a dentro, vida a fora

Toda vida, o dia inteiro, não seria exagero
Se depender de mim eu vou até o fim
Cada célula, todo fio de cabelo, falando assim parece um exagero
Mas se depender de mim eu vou até o fim, até o fim

Não vim até aqui pra desistir agora
Não vim até aqui pra desistir agora
Eu não vim até aqui pra desistir"
Camuflagem,"Foto de satélite, visão de Raio-X
Cães farejadores, detectores de metal
Currículo escolar, teste de QI
Previsões do tempo no telejornal

Não captarão
Não captarão

Capa de revista, lista de 10 mais
Grampo telefônico, malha fina
A lei da selva e dos tribunais
Leitura de mão, regressão a outras vidas

Não captarão
Não captarão

Sem soar o alarme, sem fazer alarde
Vai passar batido, despercebido
Talvez até já tenha acontecido

Sondas e radares não captarão
Revisores ortográficos também não
Pesquisa de opinião, câmera escondida
Os caras ligados se atrasarão

Não captarão (Não, não, não)
Não captarão

Sem soar o alarme, sem fazer alarde
Vai passar batido, despercebido
Talvez até já tenha acontecido

Sem soar o alarme, sem fazer alarde
Sem bater na porta, sem mandar aviso
Sem passar recibo, sem hora certa
Vai passar batido, despercebido
Talvez até já tenha acontecido


Sem soar o alarme, sem fazer alarde
Vai passar batido, despercebido
Talvez até já tenha acontecido"
Dançando no Campo Minado,"Eu devo estar ficando louco, será que eu escutei errado?
A vida no maior sufoco e os caras de papo furado
Todo cuidado é pouco, nem pense em ficar parado
Estamos no melhor da festa, dançando no campo minado

Os sinais estão no ar
Nas esquinas do país
Mensagem pelo celular
Água batendo no nariz

Eu devo estar ficando louco, será que eu escutei errado?
A vida no maior sufoco e os caras de papo furado
Será que eu vivo em outro mundo distante e inexplorado?
Na hora da invasão (Silêncio) Dançamos no campo minado

Os sinais estão no ar
No chão da praça da matriz
Mensagem pelo celular
Cortar o mal pela raiz

(Silêncio) Os sinais estão no ar
Os sinais estão no ar"
Dom Quixote,"Muito prazer, meu nome é otário
Vindo de outros tempos, mas sempre no horário
Peixe fora d'água, borboletas no aquário
Muito prazer, meu nome é otário
Na ponta dos cascos e fora do páreo
Puro sangue puxando carroça
Um prazer cada vez mais raro
Aerodinâmica num tanque de guerra
Vaidades que a terra um dia há de comer
""Ás"" de Espadas fora do baralho
Grandes negócios, pequeno empresário
Muito prazer, me chamam de otário

Por amor às causas perdidas

Tudo bem, até pode ser
Que os dragões sejam moinhos de vento
Tudo bem, seja o que for
Seja por amor às causas perdidas
Por amor às causas perdidas


Tudo bem, até pode ser
Que os dragões sejam moinhos de vento
Muito prazer, ao seu dispor
Se for por amor às causas perdidas
Por amor às causas perdidas"
Duas Noites no Deserto,"Aprendi contigo a navegar
Em qualquer tempo, qualquer mar
Aprendi contigo a desarmar
As armadilhas do caminho

Um ciclone atravessou as nossas vidas (As nossas vidas)
De repente tudo fora do lugar (Fora do lugar)
Hoje eu sei, só a mudança é permanente
De repente tudo está no seu lugar

Um fim de semana em outro mundo
Pode ser a salvação
Pode ser loucura acreditar
Que ainda exista salvação
Só se for contigo, só contigo
Duas noites no deserto

Um ciclone atravessou as nossas vidas (As nossas vidas)
De repente tudo fora do lugar (Fora do lugar)
Hoje eu sei, só a mudança é permanente
De repente tudo está no seu lugar

Duas noites no deserto
Duas noites no deserto
Duas noites no deserto
Segunda-feira tudo está no seu lugar"
Fusão à Frio,"Ninguém sabe como serão os filhos desse casamento
Indústria da informação, indústria do entretenimento
Promessas de fusão à frio, desvio de comportamento
Indústria da informação, indústria do entretenimento
Ninguém sabe como serão os filhos desse casamento
Indústria da informação, indústria do entretenimento
Promessas de fusão à frio, diversão e conhecimento
A única escolha que temos é a forma de pagamento

Em doses homeopáticas em escala industrial
Tudo acaba em samba, é sempre carnaval
Tudo acaba em sombras, é sempre vendaval
Doses homeopáticas em escala industrial
Tudo acaba em samba, é sempre carnaval


Tudo acaba em samba, é sempre carnaval
Tudo acaba em sombras, é sempre vendaval
Doses homeopáticas em escala industrial"
Na Veia,"Se você perguntar por mim
Vão dizer que eu ando muito estranho
Vão dizer que eu ando por aí
Quando você perguntar por mim
Se você perguntar por mim
Vão dizer as coisas mais estranhas
Nenhuma resposta vai satisfazer
Quando você perguntar por mim

Vem ver com os próprios olhos
Vem ver a vida como ela é
Vem ver com os próprios olhos
Vem ver a vida como ela é

Se você está mesmo a fim
De saber por onde eu ando
De saber por quê eu ando assim
É melhor nem perguntar por mim

Vem ver com os próprios olhos
Vem ver a vida como ela é
Vem ver com os próprios olhos
Vem ver a vida como ela é

Sem filtro na veia
Sem filtro na veia

Vem ver com os próprios olhos
Vem ver a vida como ela é
Vem ver com os próprios olhos
Vem"
Outono em Porto Alegre,"Nem tudo está perdido, nem sinal de pedra no peito
O horóscopo do jornal arriscou um belo dia
Liguei o rádio na hora certa
Era a canção que eu queria
Nem tudo está perdido, tudo em paz no reino da química
Ninguém me telefonou enquanto eu dormia
Sonhei com meu pai e ele sorria
Chimarrão pra acordar era só o que eu queria

Veja você, que surpresa, que coisa incrível
Descobri que sou feliz
Veja você, quem diria, que ironia
Sem você, eu sou feliz

Nem tudo está perdido, outono em Porto Alegre
Sou o dono dos meus passos sobre folhas mortas
O mundo fica pra outro dia
Andar por aí era tudo que eu queria

Veja você, que surpresa, que coisa incrível
Descobri que sou feliz
Veja você, quem diria, que ironia
Sem você, eu sou feliz"
Rota de Colisão,"As fases da lua, a crise dos mercados
O movimento das marés
A hora da verdade, a idade da razão
A diferença do que se pensa e o que se faz

Isso nos coloca em rota de colisão
Estamos em rota de colisão
Isso nos coloca em rota de colisão
Estamos em rota de colisão

Ao encontro de, de encontro a
Seja o que for, o bom português não vai nos salvar
O lado escuro da lua, as luzes da cidade
A diferença do que se pensa e o que se faz

Isso nos coloca em rota de colisão
Estamos em rota de colisão
Isso nos coloca em rota de colisão
Estamos em rota de colisão

(Seja o que for)
Isso nos coloca em rota de colisão
Isso nos coloca em rota de colisão
Tudo isso nos coloca em rota de colisão
(Seja o que for)
Isso nos coloca em rota de colisão
Isso nos coloca em rota de colisão
Tudo isso nos coloca em rota de colisão
Rota de colisão"
Segunda-Feira Blues I,"Onde estão os caras que lutavam dia-a-dia sem perder a ternura jamais?
Onde estão os caras que desmaterializavam moedas de dez mil reais?
Onde estão os caras que desconheciam limites, universal e singular?
Onde estão os caras que desenhavam novas cidades em guardanapos na mesa de um bar?

Onde estão as provas, onde estão os fatos?
As boas novas eram só boatos?
Onde estão os atos de bravura e rebeldia, ternura guerreada dia-a-dia?
Será que estamos sós?

Onde estão os caras que pregavam no deserto? O deserto continua lá
Onde estão os caras que deixavam as portas abertas para a vida poder circular?
Onde está o teatro mágico só para iniciados? Onde está o espaço não privatizado?
Onde estão os caras que acenavam com a mão invisível um mercado para todos nós?

Onde estão as provas, onde estão os fatos?
As boas novas eram só boatos?
Onde estão os caras que lutavam e cantavam?
Por um mundo ideal eles gritavam, ""não estamos sós""

Onde estão os caras que diziam que a guerra ia acabar?
Onde estão os caras que diziam que a maré ia virar?
Onde estão os caras que espalharam o vírus, prometeram a cura e viraram as costas?
Onde está o outro? Onde está o diferente? Onde está o comum a toda gente?

Onde estão as provas, onde estão os fatos?
As boas novas eram só boatos?
Onde estão as provas, onde estão os fatos?"
