titulo,letra
A Conquista do Espaço,"Cinco, quatro, três, dois, um

Costas quentes (Sempre em frente)
Frente fria (Sempre em frente)
Sangue quente (Sempre em frente)
Demente sangria (Sempre, sempre, sempre, sempre)
Passo à passo à eternidade
Um passo em falso, a cara no chão
Um grande passo pra humanidade
Um pequeno veneno pra cada um de nós

Lá do alto deve ser bonito
Aqui de cima é muito legal
No asfalto, meus tênis derretem
Aqui em cima nem frio nem calor

Bola nas costas (Sempre em frente)
Atrás vem gente (Sempre em frente)
Sempre alerta (Sangue frio)
Sempre em frente (Sempre, sempre)
Passo à passo, Pégasus, pegadas
Pelo espaço a conquistar
Bola de neve morro abaixo
Sempre em frente, pra cima, pro alto

Lá do alto deve ser esquisito
Aqui de cima até que é normal
Minha cabeça pesa quase dois séculos
Meu corpo flutua, peso nenhum

Cara à cara, a conquista do espelho
Passo à passo, a conquista do espaço
Cara à cara, a conquista do espelho
Passo à passo, a conquista do espaço

Lá do alto deve ser bonito (Deve ser bonito)
Aqui de cima até que é normal
Minha cabeça presa entre dois mundos
Meu corpo flutua, mundo nenhum

A mídia, a mediocracia
Muito Zorro e nenhum Sargento Garcia
Francamente (Francamente)
Há muito já não somos como já fomos
Todos iguais
Iguais aos poucos que ainda andam
Iguais a tantos que andam loucos
Iguais a loucos que ainda andam
Iguais a santos que andam loucos de satisfação
Ouvindo pampa no walkman (Descubro um passado que não me pertence)
Ouvindo pampa no walkman (Third world music, mito e nonsense)
Ouvindo pampa no walkman (Pertenço a um país que não me pertence)
Ouvindo pampa no walkman (Não sou gaúcho, sou porto-alegrense)
Francamente"
A Conquista do Espelho,"Eu roubei esses versos como quem rouba pão
Com a mão urgente, com urgência no coração
Eu contei histórias, inventei vitórias
Como quem tem preguiça, como quem faz justiça com as próprias mãos
Eu roubei quase tudo que eu tenho só pra chamar tua atenção
E, quando cheguei em casa, vi que lá morava um ladrão
Eu perdi quase tudo que eu tinha
A paz, a paciência, a urgência que me levava pela mão

Uma noite interminável numa cela escura
Sentido, senhores, censores sem poder de censura
O ruído dos motores numa sala de torturas
Senhoras e senhores, censores sem talento sensorial
Nunca mais saiu da minha boca o gosto amargo da palavra traição
Nunca mais saiu da minha boca nenhum elogio a nenhuma paixão
Uma noite mal dormida, um país em maus lençóis
Sem sono, sem censura, 100% de nada, não é nada é muito pouco
Uau


Sem sono, sem censura, 100% de nada (De nada) não é nada, é muito"
Até Quando Você Vai Ficar?,"Tuas palavras, como um espelho, cristais de visão
Me refletem, se quebram, cortam a respiração
Tuas palavras, duras palavras, como uma prisão
Me deixam de fora, fora de circulação

Tuas palavras, duras palavras
Um espelho, uma explosão
Tuas palavras, duras palavras
Um prisioneiro, uma prisão

Sou dado a sonhos como um dado em tuas mãos
Entregue a vícios e crenças, às vezes rolo pelo chão
Me achas lento quando atravesso a escuridão
Por um momento, eu me sinto como um dardo em tuas mãos

Tuas palavras, duras palavras
Das alturas ao chão
Tuas palavras, duras palavras
Um espelho, uma prisão

Até quando você vai ficar fazendo o que quer comigo?
Até quando você vai ficar sem saber o que quer de mim?
Até quando você vai ficar fazendo o que quer comigo?
Até quando você vai ficar sem saber o que quer de mim?
Até quando você vai ficar fazendo o que quer comigo?
Até quando você vai ficar sem saber o que quer de mim?
Até quando você vai ficar fazendo o que quer comigo?
Até quando você vai ficar sem saber o que quer de mim?
Até quando você vai ficar, até quando você vai ficar
Sem saber o que quer fazer? Sem saber o que quer?
Sem saber o que? Sem saber?"
Canibal Vegetariano Devora Planta Carnívora,"Eu tive um pesadelo, tive medo de não acordar
Do alto de uma torre, eu vi a Terra em transe profundo
Todo mundo era poeta, todo mundo era atleta
Todo mundo era tudo
""Do it yourself,"" diziam, ""O céu é o limite,"" acredite
É um pesadelo, não consigo acordar
Eu tive um pesadelo, tive medo de não acordar
Eram várias variáveis, um vírus voraz no computador
Sem rumo, na contramão do fim da história
Em resumo, o sonho é over, overnight
É um pesadelo, eu não consigo acordar

Contra, contra, contra, contra a tradição
A contradi, a contradi, a contradição
Contra, contra, contra, contra a tradição
A contradição, a contradição, a contradição

Clichês inéditos, déja vu nunca visto
Esquerda light, diet indigestão
Jagunço hi-tech, perua low profile
Cabelo vermelho Ferrari, joia rara para a multidão

Eu tive um pesadelo, tive medo de não acordar
Tudo andava tão caído, eu andava por aí
Sem rumo, sem rima nem refrão
Em resumo, não tive culpa nem perdão
Eu tive um pesadelo, tive medo quando acordei
Tudo faz sentido, agora que tudo acabou
O céu andava meio caído antes mesmo de desabar
Turistas vorazes levavam pra casa
Desertos e oásis num vídeo K7
Anjos em queda livre, o céu abaixo do nível do mar
Foi só um pesadelo, um peso pesado caído na lona
Castelo de areia desmorona, paz na Terra em transe profundo
Foi só um pesadelo, paz
Na Terra em transe profundo

O suprassumo da contradição
O suprassumo da contradição
O sup, o sup, o sup, o sup, o suprassumo da contradição
O suprassumo da contradição

Overdose homeopática, ode ao que se fode
Humildade com ""H"" maiúsculo e dourado
Enfant terrible veterano, calendário eterno
Fuso anti-horário, luz difusa, confusa explicação
Tara relax, safe sex
Disneylândia dândi, a grande guerra
Pantanal new age (A contradição), bacanal cristão (A contradição)
Fanatismo indeciso, fanática indecisão
Em resumo, et cetera e tal"
Chuva de Containers,"Falta pão, o pão nosso de cada dia
Sobra pão, o pão que o diabo amassou

Triste vocação, a nossa elite burra se empanturra de biscoito fino
Somos todos passageiros clandestinos dos destinos da nação
Triste destino, engolir sem mastigar, chuva de containers
Entertainers no ar, noir, no ar, noir

Falta pão, o pão nosso de cada dia
Sobra pão, o pão que o diabo amassou

Triste vocação, a nossa elite burra se empanturra de biscoito fino
Triste sina, América Latina, não escaparemos do vexame, não
Nós não caberemos todos em Miami
Ame-o ou deixe-o, ame-o ou deixe-o

Ouviram do Ipiranga às margens plácidas, os trovões da chuva ácida
A acidez oceânica de uma laranja mecânica

Falta pão, o pão nosso de cada dia
Sobra pão, o pão que o diabo amassou
Falta circo no mundo que nos cerca
Sobra circo, é só pular a cerca

Sobra circo, falta pão
Falta circo, sobra pão"
Ninguém = Ninguém,"Há tantos quadros na parede
Há tantas formas de se ver o mesmo quadro
Há tanta gente pelas ruas
Há tantas ruas e nenhuma é igual a outra
Ninguém é igual a ninguém
Me espanta que tanta gente sinta
Se é que sente a mesma indiferença
Há tantos quadros na parede
Há tantas formas de se ver o mesmo quadro
Há palavras que nunca são ditas
Há muitas vozes repetindo a mesma frase
Ninguém é igual a ninguém
Me espanta que tanta gente minta
Descaradamente a mesma mentira

Todos iguais, todos iguais, mas uns mais iguais que os outros
Todos iguais, todos iguais, mas uns mais iguais que os outros
Todos iguais, todos iguais, mas uns mais iguais

Há pouca água e muita sede
Uma represa, um apartheid, a vida seca, os olhos úmidos
Entre duas pessoas, entre quatro paredes
Tudo fica claro, ninguém fica indiferente
Ninguém é igual a ninguém
Me assusta que justamente agora
Todo mundo, tanta gente, tenha ido embora

Todos iguais, todos iguais, mas uns mais iguais que os outros
Todos iguais, todos iguais, mas uns mais iguais que os outros
Todos iguais, todos iguais, mas uns mais iguais, mas uns mais iguais
Mas uns mais iguais que os outros


O que me encanta é que tanta gente
Sinta, se é que sente
Ou minta desesperadamente
Da mesma forma

Todos iguais, todos iguais, mas uns mais iguais que os outros
Todos iguais, todos iguais, mas uns mais iguais que os outros
Todos iguais, todos iguais, yeah, é
Todos iguais, todos iguais
Tão desiguais, tão desiguais (Ah)
Tão desiguais, tão desiguais (Ah)
Todos iguais, todos iguais"
No Inverno Fica Tarde + Cedo,"Escuridão, noite liquefeita, tudo toma forma do corpo
Que se deita na escuridão
Escuridão, nenhum olhar aceita, tudo se transforma
Numa cama desfeita na escuridão
Escuridão, hora da colheita, pra quem semeou vento
Numa cama desfeita na escuridão
Um corpo que se deita, um corpo em tempestade
Agora já é tarde
Solidão, hora da colheita pra quem semeou o vento
Num corpo que se deita na solidão
De uma cama desfeita, um corpo em tempestade
Agora já é tarde

No inverno fica tarde mais cedo
Só depois de perder você descobre que era um jogo
Um jogo que não acaba nunca, nunca acaba empatado
Se foi um jogo, você ganhou, eu perdi a direção
Se foi um sonho, se foi o céu, eu não sei
Eu que não sei perder, perdi o sono
Na escuridão, na escuridão
Só depois de perder você descobre que era um jogo
Um jogo que não acaba nunca, nunca acaba empatado
Se foi um jogo, você ganhou, eu perdi a direção
Se foi um sonho, se foi o céu, eu não sei
Eu que não sei perder, perdi o medo
Da escuridão, da escuridão"
Pampa no Walkman,"Se em uma fração nos parecessemos, se algum som nos fosse comum
Se a comunhão nos abrigasse da mesma noite, mesma chuva
Se me coubesses feito luva, se eu procurasse a tua mão
Eu ficaria aqui pra sempre, sempre seria diferente, cada dia à dia amanhecer
Se uma razão nos parecesse a natureza inevitável
Qual fronteiras separando estes estados nada estáveis
Quando eu procurasse a tua mão, encontraria a nossa gente
E ficaria ali pra sempre, sempre seria diferente, cada cara à cara reconhecer
Se meu passado fosse outro, se fosse outro o presente
Se o futuro nos trouxesse o que faltava antigamente
Eu cantaria as canções que se fazia de repente
Sacro sino compunha, minha sina, tua unha, carne, sangue e pus

Sinto muito blues
Sinto muito blues
Sinto muito blues

Eu já fui cego (Eu já fui cego)
Já vi de tudo (Já vi de tudo)
Já disse tudo e fiquei mudo
Já fui tão pouco e fui demais
Eu estive longe
Longas tardes à procura
A loucura esteve perto
Eu estive longe dela
Longe da cidade
Cidades por toda parte
Sempre estive por perto, por pouco Porto Alegre
Por certo estive louco de satisfação

Ouvindo pampa no walkman
Ouvindo pampa no walkman
Ouvindo pampa no walkman

Eu ficaria ali pra sempre, sempre seria diferente, cada dia à dia renascer

Ouvindo pampa no walkman
Ouvindo pampa no walkman
Ouvindo pampa no walkman
Ouvindo pampa no walkman"
Parabólica,"Ela para e fica ali parada
Olha assim para nada, diz ""Paraná""
Fica parecida, paraguaia
Para-raios em dia de sol para mim

Prenda minha parabólica, princesinha parabólica
O pecado mora ao lado e o paraíso paira no ar
Pecados no paraíso

Se a TV estiver fora do ar
Quando passarem os melhores momentos da sua vida
Pela janela alguém estará de olho em você
Completamente paranoico

Prenda minha parabólica, princesinha parabólica
Paralelas que se cruzam em Belém do Pará

Longe, longe, longe, aqui do lado
Paradoxo nada nos separa
Eu paro e fico aqui parado, olho-me para longe
A distância não separabólica"
Pose,"Vamos passear depois do tiroteio
Vamos dançar num cemitério de automóveis
Colher as flores que nascerem no asfalto
Vamos todo mundo, tudo que se possa imaginar
Vamos duvidar de tudo que é certo
Vamos namorar à luz do pólo petroquímico
Voltar pra casa num navio fantasma
Vamos todo mundo, ninguém pode faltar
Se faltar calor, a gente esquenta
Se ficar pequeno, a gente aumenta
Se não for possível, a gente tenta
Vamos ficar acima, velejar no mar de lama
Se faltar o vento, a gente inventa
Vamos esquecer o dia da semana
Tem que ser agora, anos 90
Vamos remar contra a corrente
Desafinar do coro dos contentes
Se for impossível, se não for importante
Mesmo assim a gente tenta

Não é pose, não é positivismo
Quanto pior, pior
Não é pose, no passarán
Não passaremos por isso

Fora voodoo, ranso, baixo astral
Eu não vou perder meu tempo brincando de ser mal
Não vou viver pra sempre nem morrer a toda hora
Como rasgos pré-fabricados num novo velho blue jeans
Morte anunciada, direitos autorais
Pela TV à cabo uma baleia acaba de nascer
Nascer pode ser uma passagem violenta
O futuro se põe, o passado não se aguenta
Oh, oh-oh, oh, oh-oh
Meninos e engenhos, santa ingenuidade
Santíssima trindade, sexo, drogas, rock and roll
Oh, oh-oh, oh, oh-oh

É pura pose, faz qualquer coisa (Pois é)
E o pior não é isso
É pura pose, posteridade (É nós)
E o pior não é isso

Vamos passear depois do tiroteio
Vamos dançar num cemitério de automóveis
Vamos duvidar de tudo que é certo
Vamos namorar à luz do pólo petroquímico
Lalarala (Ah, ah)
Lalarala (Ah-ah, ah-ah-ah, ah)
Lalarala (Ah, ah)
Lalarala (Ah-ah, ah-ah-ah, ah)
Laralala
Laralala
Laralala
Laralala
Vamos remar contra a corrente
Desafinar do coro dos contentes
Vamos ficar acima, velejar no mar de lama
Vamos esquecer o dia-a-dia, o dia-a-dia"
