titulo,letra
A Verdade a Ver Navios,"Na hora ""H,"" no dia ""D,"" na hora de pagar pra ver
Ninguém diz o que disse, não era bem assim
Na hora ""H,"" no dia ""D,"" na hora de acender a luz
Ninguém dá nome aos bois, tudo fica pra depois
Na hora ""H,"" no dia de ninguém pagar pra ver
Tudo fica pra trás, querem mais é esquecer

Mas é impossível repetir o que só acontece uma vez
É impossível reprimir o que acontece toda vez
Que alguém acorda porque já não aguenta mais
E a corda arrebenta no lado mais forte

É muito engraçado que todos tenham os mesmos sonhos
E que o sonho nunca vire realidade
É muito engraçado que estejam do mesmo lado
Os que querem iluminar e os que querem iludir
É muito engraçado que todo mundo tenha armas capazes de tudo
De todo mundo acabar no dia ""D,"" na hora ""H""

E é impossível repetir o que só acontece uma vez
É impossível reprimir o que acontece toda vez
Que alguém acorda porque já não aguenta mais
E a corda arrebenta no lado mais forte


É impossível repetir o que só acontece uma vez
É impossível reprimir o que acontece toda vez
Que chega a hora de dizer, ""Chega""
A hora de dizer, ""Chega""
A hora de dizer, ""Chega""
Dizer, ""Chega""

Não pagar pra ver a verdade a ver navios
Onde já se viu?"
Cidade em Chamas,"As chances estão contra nós, mas nós estamos por aí
A fim de sobreviver, como um avião sobrevoa
A cidade em chamas, a cidade em chamas
No meio da confusão, andando sem direção
A fim de sobreviver, só pra ver como brilha
A cidade em chamas, a cidade em chamas

Se o que eu digo não faz sentido
Não faz sentido ficar ouvindo
Mas o que eu digo não é mentira
Não faz sentido ficar mentindo

Enquanto as bombas caem do avião
Deixando de recordação
A cidade em chamas
A cidade em chamas

Já ouvimos essa história, sabemos como acaba
Acontece quase tudo, não muda quase nada
Já vimos esse filme, sabemos como acaba
Explodem quase tudo, não sobra quase nada

Então, só resta uma solução
Sair no meio da sessão
Pra ver a cidade em chamas
A cidade em chamas

As chances estão contra nós, nós estamos por aí
A fim de sobreviver
No meio da confusão, andando sem direção
A fim de sobreviver

Enquanto as bombas caem do avião
Deixando de recordação
A cidade em chamas
A cidade em chamas


Não basta ter coragem, é preciso estar sozinho
É preciso trair tudo e trazer a solidão
Eu sei que eles tem razão
Mas a razão é só o que eles tem

Quantas bocas se fecharão
Quando a bomba beijar o chão
Da cidade em chamas?
Da cidade em chamas

As chances estão contra nós, mas nós estamos por aí
A fim de sobreviver, como um avião sobrevoa
A cidade em chamas"
Desde Quando,"Desde quando errar é humano, desde quando humano é normal?
Desde quando errando é que se aprende?
Desde quando poluição é progresso, desde quando progresso é melhor?
Acho melhor começar tudo de novo do que acabar pela primeira vez

Desde quando?
Até quando?

Você insiste em dizer que enxerga na escuridão
Você insiste em dizer que controla a situação
Não minta agora, agora não
Agora não

Desde quando viver é um sonho, desde quando um sonho é preciso?
Eu preciso do que eu quero, eu espero que você me dê
Desde quando ordem e progresso nos levarão a algum lugar?
Nem tudo que brilha é ouro, nem todo ouro pode nos salvar

Desde quando?
Até quando?

Você insiste em dizer que enxerga na escuridão
Você insiste em dizer que controla a situação
Não minta agora, agora não
Agora não, agora não

Desde quando poesia é verdade, desde quando verdade vicia?
Eu tô esperando que você me diga desd'aquele dia
Rock n' roll não é o que se pensa e o que se pensa não é o que se faz
O que se faz só faz sentido quando vivemos em paz

Desde quando?
Até quando?

Você insiste em dizer
Que resiste à tentação
Não minta agora, agora não
Agora não, agora não"
Nunca Se Sabe,"Sei que parecem idiotas as rotas que eu traço
Mas tento traçá-las eu mesmo
E, se chego sempre atrasado, se nunca sei que horas são
É porque nunca se sabe até que horas os relógios funcionarão
Sem dúvida a dúvida é um fato, sem fatos não sai um jornal
Sem saída ficamos todos presos, aqui dentro faz muito calor
Sempre parecem idiotas, as rotas que eu faço
Sempre tarde da noite
E se ando sempre apressado, se nunca sei que horas são
É porque nunca se sabe, é porque nunca se sabe

Nem sempre faço o que é melhor pra mim
Mas nunca faço o que eu não tô a fim de fazer
Nem sempre faço o que é melhor pra mim
Mas nunca faço o que eu não tô a fim

Não quero perder a razão pra ganhar a vida
Nem perder a vida pra ganhar o pão
Não é que eu faça questão de ser feliz
Eu só queria que parassem de morrer de fome a um palmo do meu nariz
Mesmo que pareçam bobagens as viagens que eu faço
Eu traço meus rumos eu mesmo, a esmo
E se nunca sei a quantas ando, se ando sem direção
É porque nunca se sabe, é porque nunca se sabe

Nem sempre faço o que é melhor pra mim
Mas nunca faço o que eu não tô a fim de fazer
Não viro vampiro, eu prefiro sangrar
Me obrigue a morrer, mas não me peça pra matar, não, nã-não
Nem sempre faço o que é melhor pra mim
Mas nunca faço o que eu não tô a fim de fazer
Não viro vampiro, eu prefiro sangrar
Me obrigue a morrer, mas não me peça pra matar, nã-nã-não"
Ouça O Que Eu Digo: Não Ouça Ninguém,"Tantas pessoas paradas na esquina, assistindo a cena
Pele morena vendendo jornais, vendendo muito mais do que queria vender
Vozes à toa, ecos na esquina, narrando a cena
Pele morena vendendo jornais, precisando de mais venenos mortais

E o que nos devem, queremos em dobro
Queremos em dólar
O que nos devem, queremos em dobro
Queremos agora

Se te disseram pra não virar a mesa
Se te disseram que o ataque é a pior defesa
Se te imploraram, ""Por favor, não vire a mesa""
Ouça o que eu digo, ""Não ouça ninguém""
Ouça o que eu digo, ""Não ouça ninguém"" (Ouça, ouça)
Ouça o que eu digo, ""Não ouça ninguém""
Ouça o que eu digo, ""Não""

Tantas pessoas paradas na esquina, fingindo pena
Criança pequena cheirando cola, beijando a sola dos sapatos

E o que nos devem, queremos em dobro
Queremos em dólar
O que nos devem, queremos em dobro
Queremos agora

Se te disseram pra não virar a mesa
Se te disseram que o ataque é a pior defesa
Se te disseram pra esperar a sobremesa
Ouça o que eu digo, ""Não ouça ninguém""
Ouça o que eu digo, ""Não ouça ninguém""
Ouça o que eu digo, ""Não ouça ninguém""
Ouça o que eu digo, ""Não""

Se te disseram pra não virar a mesa
Se te disseram que o ataque é a pior defesa
Ouça o que eu digo, ""Não ouça ninguém""
Ouça o que eu digo, ""Não ouça ninguém"""
Pra Entender,"Pra entender basta um tapa num cigarro
Uma olhada no mapa do Brasil
Uma caminhada por qualquer caminho
Um carinho qualquer
Basta ver o que não se enxerga
O que só se enxerga nos olhos de uma mulher
Basta olhar pro que acontece
Esteja onde estiver

Pra entender
Pra entender
Nada disso é tudo, tudo isso é fundamental

Pra entender basta a cara e a coragem
A cor, o corpo, o coração (A cor, o corpo, o coração)
Uma canção da banda preferida
Uma descida ao porão (Não)
Seis pilhas pro meu rádio
Seis minutos pra canção
Basta olhar pro o que acontece
Aconteça o que acontecer

Pra entender
Pra entender
Nada disso é tudo e tudo isso é fundamental

Pra entender basta uma noite de insônia
Um sonho que não tem fim
Um filme sem muita graça
Uma praça sem muito sol
Oh, seis cordas pra guitarra
Seis sentidos na mesma direção
Seiscentos anos de estudo
Ou seis segundos de atenção

Pra entender
Pra entender
Nada disso é tudo e tudo isso é fundamental"
Quem Diria,"Quem diria que um dia a gente iria chegar ao fim?
Quem diria que seria assim?
Ninguém seria capaz de adivinhar
Ninguém foi capaz de evitar

Você se enganou, tem que reconhecer
Não me conhecia e não sabia o que queria saber
Agora reclama sem nenhuma razão
Pra não dizer o que não quer ouvir ninguém falou
Você se enganou, não, não pode negar
Não me conhecia e não sabia, não sabia por quê

Quem diria que um dia a gente iria chegar ao fim?
Quem diria que seria assim?
Ninguém seria capaz de adivinhar
Ninguém foi capaz de evitar

Você se assustou, foi fácil de perceber
Não sabia o que queria, não sabia o que queria saber
Agora reclama com toda razão
Pra não dizer o que não quer ouvir ninguém falou
Foi o que deveria ter sido se não fosse paixão
Se não fosse, se não fosse, se não, se não fosse paixão

Quem diria que um dia a gente iria chegar ao fim?
Quem diria que seria assim?
Ninguém seria capaz de adivinhar
Ninguém foi capaz de evitar


Quem diria que um dia a gente iria chegar ao fim?
Quem diria que seria assim?
Ninguém seria capaz de adivinhar
Ninguém foi capaz de evitar"
Sob o Tapete,"Quando menos se espera, o que seria já era, o que seria de nós
Se não fosse a ilusão que nos trouxe até aqui?
Quanto mais se foge, tanto mais se quer fugir, o que seria de nós
Se não fosse a ilusão, a doce ilusão de conseguir?

Há mais de uma semana eu não sei que horas são
Havia um romance ao alcance da mão
Mas o cigarro apagou enquanto eu decidia
Se o vício valia, se eu seria capaz
Há mais de uma semana eu não sei que horas são
Havia um romance ao alcance da mão
Mas o cigarro apagou enquanto eu decidia
Se o vício valia ou seria difícil demais

Quando menos se espera, o que seria já era, o que seria de nós
Se não fosse a mão que nos trouxe até aqui?
Quanto mais se foge, tanto mais se quer fugir e só se pensa em fugir
Da mão que nos trouxe a doce ilusão de conseguir

Há mais de um motivo, há mais de uma razão
Havia um romance ao alcance da mão
Mas o cigarro apagou e me ensinou o macete
De esconder as cinzas sob o tapete
Há mais de um motivo, há mais de uma razão
Havia um romance ao alcance da mão
Mas o cigarro apagou e me ensinou o macete
De esconder as cinzas sob o tapete


Há mais de um motivo, há mais de uma razão
Havia um romance ao alcance da mão
Mas o cigarro apagou e me ensinou o macete
De esconder as cinzas sob, sob, sob o tapete"
Somos Quem Podemos Ser,"Um dia me disseram que as nuvens não eram de algodão
Um dia me disseram que os ventos às vezes erram a direção
E tudo ficou tão claro, um intervalo na escuridão
Uma estrela de brilho raro, um disparo para um coração

A vida imita o vídeo, garotos inventam um novo inglês
Vivendo num país sedento, um momento de embriaguez

Somos quem podemos ser, sonhos que podemos ter

Um dia me disseram quem eram os donos da situação
Sem querer eles me deram as chaves que abrem essa prisão
E tudo ficou tão claro, o que era raro ficou comum
Como um dia depois do outro, como um dia, um dia comum

A vida imita o vídeo, garotos inventam um novo inglês
Vivendo num país sedento, um momento de embriaguez

Somos quem podemos ser, sonhos que podemos ter

Um dia me disseram que as nuvens não eram de algodão
Sem querer eles me deram as chaves que abrem essa prisão
Quem ocupa o trono tem culpa, quem oculta o crime também
Quem duvida da vida tem culpa, quem evita a dúvida também tem

Somos quem podemos ser, sonhos que podemos ter"
Tribos e Tribunais,"Todo dia a gente inventa uma alegria, a gente esquenta a água fria
E ignora a bola fora
Toda hora a gente dá um desconto, a gente faz de conta
Mas chega a um ponto que ninguém mais quer saber
Crimes passionais, profissionais liberais demais
Segredos de estado, centroavante recuado

Isso me sugere muita sujeira
E isso não me cheira nada bem
Tem muita gente se queimando na fogueira
E muito pouca gente se dando muito bem
Isso me sugere muita sujeira
E isso não me cheira nada bem
Tem muita gente se queimando na fogueira
E muito pouca gente se dando muito bem

Agente secreto, agente imobiliário, gente como a gente
Presidente e operário
Empresas estatais, estátuas de generais, heróis de guerra
Guerra pela paz
Hindus, industriais, tribos e tribunais
Pessoas que nunca aparecem ou aparecem demais

Isso me sugere muita sujeira
E isso não me cheira nada bem
Tem muita gente se queimando na fogueira
E muito pouca gente se dando muito bem
Isso me sugere muita sujeira
E isso não me cheira nada bem
Tem muita gente se queimando na fogueira
E muito pouca gente se dando muito bem

Críticos da arte, arte pela arte, Pink Floyd sem Roger Waters (Welcome To The Machine)
Formas sem função
Fascistas de direita, fascistas de esquerda, empresas sem fins lucrativos
Empresas que lucram demais
E todo dia a gente inventa e fantasia, a gente tenta todo dia
Feitos cegos, dgos em agonia

Isso me sugere muita sujeira
Isso não me cheira nada bem
Isso me sugere muita sujeira
Isso não me cheira nada bem
Isso me sugere muita sujeira
Isso não me cheira nada bem, não, não
Todo dia, todo dia (Todo dia)
Todo dia (Todo dia), todo dia"
