titulo,letra
Ando Só,"Driver, follow that car

Ando só pois só eu sei
Pra onde ir, por onde andei
Ando só, nem sei por que
Não me pergunte o que eu não sei
Pergunte ao pó, desça ao porão
Siga aquele carro ou as pegadas que eu deixei
Pergunte ao pó por onde andei
Há um mapa dos meus passos nos pedaços que eu deixei
Desate o nó que te prendeu
A uma pessoa que nunca te mereceu
Desate o nó que nos uniu
Num desatino, um desafio

Ando só, como um pássaro voando
Ando só, como se voasse em bando
Ando só, pois só eu sei andar sem saber até quando
Ando só


Ando só, como um pássaro voando
Ando só, como se voasse em bando
Ando só, pois só eu sei andar sem saber até quando
Ando só"
Curta-Metragem,"Como qualquer curta-metragem
Tropicalismo, bossa nova, Rei Pelé
Como qualquer curta-metragem
Brasil, turismo, Amazônia, ciclo do café
Como qualquer picaretagem
""Mãos ao alto, não se mexa, fique onde está""
A vida é uma viagem, passagem só de ida
Há quem diga que não vale, ah! (Vou direto)

""Curta-Metragem"" quinto take

Como qualquer curta-metragem
Tropicalismo, bossa nova, Rei Pelé
Como qualquer curta-metragem
Brasil, turismo, Amazônia, ciclo do café
Como qualquer picaretagem
""Mãos ao alto, não se mexa, fique onde está""
A vida é uma viagem, passagem só de ida
Há quem diga que não vale, há quem mate pra viver
A vida é uma viagem, bebida sem gelo
Engolida às pressas às vésperas da sede"
Descendo a Serra,"Um, dois, três, quatro, um, dois
Um, dois, três, quatro, um, dois

Tô descendo a serra, cego pela serração
Salvo pela imagem, pela imaginação
De uma bailarina no asfalto, fazendo curvas sobre patins
Tô descendo a serra, cego pela neblina
Você nem imagina como tem curvas essa estrada
Ela parece uma serpente morta às portas do paraíso
O inferno ficou para trás com as luzes lá em cima
O céu não seria rima, nem seria solução
Um dia de cão, um mês de cães danados
Ordem no caos, olhos nublados
Um cão anda em círculos atrás do próprio rabo
Um dia de cão, um mês de cães danados
Ordem no caos, olhos cansados
Não há nada de novo no ovo da serpente
É sempre a mesma história, é tão difícil partir
É sempre a mesma história, é impossível ficar
É sempre mais difícil dizer adeus
Quando não há nada mais pra se dizer, é
É muito mais difícil dizer adeus
Quando não há nada mais pra se dizer"
Herdeiro da Pampa Pobre,"Mas que pampa é essa que eu recebo agora?
Com a missão de cultiver raízes
Se dessa pampa que me fala a história
Não me deixaram nem sequer matizes?
Passam as mãos da minha geração
Heranças feitas de fortunas rotas
Campos desertos que não geram pão
Onde a ganância anda de rédeas soltas

Se for preciso, eu volto a ser caudilho
Por essa pampa que ficou pra trás
Porque eu não quero deixar pro meu filho
A pampa pobre que herdei de meu pai

Que pampa é essa que eu recebo agora?
Com a missão de cultiver raízes
Se dessa pampa que me fala a história
Não me deixaram nem sequer matizes?
Passam as mãos da minha geração
Heranças feitas de fortunas rotas
Campos desertos que não geram pão
Onde a ganância anda de rédeas soltas

Se for preciso, eu volto a ser caudilho
Por essa pampa que ficou pra trás
Porque eu não quero deixar pro meu filho
A pampa pobre que herdei de meu pai
Eu não quero deixar pro meu filho
A pampa pobre que herdei de meu pai

Herdei um campo onde o patrão é rei
Tendo poderes sobre o pão e as águas
Onde esquecido vive o peão sem leis
De pés descalços cabresteando mágoas
E o que hoje herdo da minha grei chirua
É um desafio que a minha idade afronta
Pois me deixaram com a guaiaca nua
Para pagar uma porção de contas

Se for preciso, eu volto a ser caudilho
Por essa pampa que ficou pra trás
Porque eu não quero deixar pro meu filho
A pampa pobre que herdei de meu pai
Eu não quero deixar pro meu filho
A pampa pobre que herdei de meu pai


Se for preciso, eu volto a ser caudilho
Por essa pampa que ficou pra trás
Porque eu não quero deixar pro meu filho
A pampa pobre que herdei de meu pai
Não, eu não quero deixar pro meu filho
A pampa pobre que herdei de meu pai
Não, eu não, eu não quero deixar pro meu filho
A pampa pobre que herdei de meu pai

A pampa pobre que herdei de meu pai"
Muros e Grades,"Nas grandes cidades, no pequeno dia-a-dia
O medo nos leva tudo, sobretudo a fantasia
Então erguemos muros que nos dão a garantia
De que morreremos cheios de uma vida tão vazia
Ah, então erguemos muros que nos dão a garantia
De que morreremos cheios de uma vida tão vazia
Nas grandes cidades, de um país tão violento
Os muros e as grades nos protegem de quase tudo
Mas o quase tudo quase sempre é quase nada
E nada nos protege de uma vida sem sentido
Mas o quase tudo quase sempre é quase nada
E nada nos protege de uma vida sem sentido

Um dia super, uma noite super, uma vida superficial
Entre as sombras, entre as sobras da nossa escassez
Um dia super, uma noite super, uma vida superficial
Entre cobras, entre escombros da nossa solidez

Nas grandes cidades de um país tão irreal
Os muros e as grades nos protegem de nosso próprio mal
Levamos uma vida que não nos leva a nada
Levamos muito tempo pra descobrir
Que não é por aí, não é por nada não
Não, não pode ser, é claro que não é, será? (Será?)
Meninos de rua, delírios de ruína
Violência nua e crua, verdade clandestina
Delírios de ruína, delitos e delícias
A violência travestida faz seu trottoir
Em armas de brinquedo, medo de brincar
Em anúncios luminosos, lâminas de barbear

Um dia super, uma noite super, uma vida superficial
Entre as sombras, entre as sobras da nossa escassez
Um dia super, uma noite super, uma vida superficial
Entre cobras, entre escombros da nossa solidez

Viver assim é um absurdo como outro qualquer
Como tentar o suicídio ou amar uma mulher
Viver assim é um absurdo como outro quaquer
Como lutar pelo poder, lutar como puder"
Museu de Cera,"Quem quiser saber por que e não tiver o que perder
Não pode acreditar em tudo, não pode duvidar de nada
Se não tiver instinto, se ficar distante
Se ficar com medo quando chegar o instante
Forças ocultas tomam de assalto
Ouvintes incautos de uma cult band

Tem que pagar pra ver, tem que ver pra crer, quem viver verá
A cara desses caras num museu de cera

Quem quiser saber por que e não quiser se arrepender
Não pode acreditar em tudo, tem que acreditar em algo
Se não tiver instinto, se não estiver atento
Se ficar com medo no exato momento
Alguém muito a toa soa o alarme
Veste o uniforme e transforma tudo em exceção

Tem que pagar pra ver, tem que ver pra crer, quem viver verá
A cara desses caras num museu de cera

Museu de cera, quem será?
Imagens de arquivo, de quem será?
Inconsciente coletivo, por que será?
O mundo é dos vivos, sempre será
Museu de cera, quem será?
Quem me dera poder esperar
A vida inteira, quando será?
Sexta-feira, no mais tardar

Tem que pagar pra ver, tem que ver pra crer
Tem que jogar pra ganhar, tem que correr atrás
Tem que pagar pra ver, tem que ver pra crer, quem viver verá
A força bruta, a face oculta num museu de cera

Quem quiser remar contra a maré
Tem que remar muito mais forte
Não vá à guerra de pés descalços
Não pise no tapete com essas botas imundas"
Não é Sempre,"Às vezes parece que eu não tenho medo
Às vezes parece que eu não tenho dúvidas
Às vezes parece que eu não tenho nenhuma razão pra chorar
Você esquece que eu não sou de ferro
E até o ferro pode enferrujar
Você esquece que eu não sou de aço e faço questão de provar
Olhe pra mim enquanto eu me quebro

Às vezes parece que eu tenho muito medo
Às vezes parece que eu só tenho dúvidas
Às vezes parece que eu não tenho nenhuma chance de escapar
Acontece que eu não nasci ontem
E até hoje sempre escapei com vida
Pra quem duvida de tudo que eu faço, eu faço questão de mostrar
Olhe pra mim enquanto desapareço no ar

Não queira estar no meu lugar, não queira estar em lugar nenhum
Às vezes tudo muda e continua tudo no mesmo lugar
Não queira estar no meu lugar, não queira estar em lugar nenhum (Um lugar comum)
Às vezes uma prece ajuda, às vezes nem adiante rezar
Já desisti de ser uma pessoa só, já desisti de ser uma multidão
Já não ponho todas as fichas na mesa, agora jogo algumas no chão
Jogo algumas no chão

Às vezes tudo, às vezes nada
Às vezes tudo ou nada, às vezes 50%
Às vezes a todo momento, às vezes nunca
Como tudo na vida, não é sempre
Às vezes de bem com a vida, às vezes de mau humor
Às vezes sem saída, às vezes seja onde for
Não é sempre, não é sempre
Como tudo na vida, nunca é sempre
Yeah, yeah, yeah"
Nunca é Sempre,"Eu já estive a fim, eu já não tô a fim
A gente vive assim um dia aqui, o outro ali
Aqui onde ninguém nos vê; ali no rádio, na TV
(A gente vive assim) Sabendo de tudo sem saber porque
Eu só tô começando e já cheguei ao fim
A gente vive assim: sempre acabando o que não tem fim
Acabando o que não tem fim, acabando o que não tem fim
Acabando o que não tem fim, querendo o que não tem fim
(Fim)"
O Sonho é Popular,"A pampa é pop e o país é pobre, é pobre a pampa, o PIB é pouco
O pove pena, mas não para, poesia é um porre
O poder, o pudor, várias variáveis, o pão, o peão, grana, engrenagens
A pátria, a flor da pele, pede passagem, pqp (Pqp)
O sonho é popular
(Uma página arrancada, um segredo mantido)
Eu li isso em algum lugar
(Em passagens subterrâneas sob a praça da matriz)
Se não me engano, é Ferrera Gullar
(Uma história mal contada, uma mentira repetida)
Falando da arquitetura de um Oscar
(Até virar verdade, uma página virada)
O concreto paira no ar
(Uma página subterrânea, um segredo arrancado)
Mais aqui do que em Chandirgarh
(Em passagens mal contadas até virar verdade)
O sonho é popular
(A verdade a ver navios, uma mentira repetida)
(Repetida, repetida)

Um golpe em '61
Um golpe qualquer
Num lugar comum"
Piano Bar,"O que você me pede, eu não posso fazer
Assim você me perde e eu perco você
Como um barco perde o rumo
Como uma árvore no outono perde a cor
O que você não pode, eu não vou te pedir
O que você não quer, eu não quero insistir
Diga a verdade, doa a quem doer
Doe sangue e me dê seu telefone
Todos os dias eu venho ao mesmo lugar
Às vezes fica longe, difícil de encontrar
Mas quando o neon é bom
Toda noite é noite de luar
No táxi que me trouxe até aqui, Julio Iglesias me dava razão (Yo soy un hombre solo)
No clipe Paul Simon tava de preto, mas, na verdade, não era, não
Na verdade nada é uma palavra
Esperando tradução

Toda vez que falta luz
Toda vez que algo nos falta (Alguém que parte e não volta)
O invisível nos salta aos olhos
Um salto no escuro da piscina
O fogo ilumina muito por muito pouco tempo (Muito pouco tempo)
Em muito pouco tempo o fogo apaga tudo, tudo um dia vira luz
Toda vez que falta luz
O invisível nos salta aos olhos

Ontem à noite eu conheci uma guria
Já era tarde, era quase dia
Era o princípio num precipício
Era o meu corpo que caía
Ontem à noite, a noite tava fria
Tudo queimava, mas nada aquecia
Ela apareceu, parecia tão sozinha
Parecia que era minha aquela solidão


Ontem à noite eu conheci uma guria que eu já conhecia
De outros carnavais, com outras fantasias
Ela apareceu, parecia tão sozinha
Parecia que era minha aquela solidão
No início era um precipício, um corpo que caía
Depois virou um vício, foi tão difícil acordar no outro dia
Ela apareceu, parecia tão sozinha
Parecia que era minha aquela solidão

Parecia que era minha"
