titulo,letra
Beijos pra Torcida,"Quando eu abro a janela, quando eu abro o jornal
Eu vejo a cara dela, a terceira guerra mundial
Jogam bombas em Nova Iorque, jogam bombas em Moscou
Como se jogassem beijos pra torcida depois de marcar um gol

Falam tanto sobre guerra e paz, mas tanto faz falar ou não
Todas as bombas e os generais são restos mortais da civilização
Rebeldes sem rebeldia, viciados em anestesia
Fantasmas sem fantasia, gripados na guerra fria

Pão e circo, que pé no saco, quem não fica frio, fica fraco
Procuro entender qualé a desses caras, procuro um cigarro no bolso do casaco
Mas em todo lugar, um pedaço do fim, um furo de bala, um muro de Berlim
Muito sangue sai da tela do drive-in, um filme de guerra, um filme sem fim

Em todo lugar, um pedaço do fim, um furo de bala, um muro de Berlim
Muito sangue sai da tela do drive-in, um filme de guerra, um filme sem fim"
Crônica,"Já não passa nenhum carro por aqui
Já não passa nenhum filme na TV
Você enrola outro cigarro por aí
E não dá bola pro que vai acontecer
Mais um pouco e mais um século termina
Mais um louco pede troco na esquina
Tudo isso já faz parte da rotina
E a rotina já faz parte de você

Que tem ideias tão modernas
É o mesmo homem que vivia nas cavernas
Você que tem ideias tão modernas
É o mesmo homem que vivia nas cavernas

Todo mundo já tomou a Coca-Cola
E a Coca-Cola já tomou conta da China
Todo cara luta por uma menina
E a Palestina luta pra sobreviver
A cidade, cada vez mais violenta
Tipo Chicago, nos anos quarenta
E você, cada vez mais violento
No seu apartamento ninguém fala com você

Que tem ideias tão modernas
É o mesmo homem que vivia nas cavernas
Você que tem ideias tão modernas
É o mesmo homem que vivia nas cavernas


Todo mundo já tomou a Coca-Cola
E a Coca-Cola já tomou conta da China
Todo cara luta por uma menina
E a Palestina luta pra sobreviver
A cidade, cada vez mais violenta
Tipo Chicago, nos anos quarenta
E você, cada vez mais violento
No seu apartamento ninguém fala com você

Você que tem ideias tão modernas
É o mesmo homem que vivia nas cavernas
Você que tem ideias tão modernas
É o mesmo homem que vivia nas cavernas"
Eu Ligo pra Você,"Eu vivia esperando a vida aparecer no Jornal Nacional
Com o olhar preso no vídeo, eu esperava o suicídio de algum boçal
Você apareceu e disse, ""Cara, eu prefiro outros canais""
Você apareceu com sua cara em todos os comerciais
Eu vivia esperando a vida aparecer no Jornal Nacional
Com o olhar preso no vídeo, eu esperava o suicídio de algum boçal
Você apareceu e disse, ""Cara, eu prefiro outros canais""
Você apareceu com sua cara em todos os comerciais

E eu ligo a TV, desligo a TV e ligo pra você
Eu digo que consigo, mas não consigo te esquecer
Eu ligo a TV, desligo a TV e ligo pra você
Eu digo que consigo, mas não consigo te esquecer, wow

Você aparecia em filmes classe C, em filmes tão banais
Você aparecia e desaparecia e eu já não te via mais
Eu te perseguia, mexendo na antena, mudando o canal
Mas você sempre fugia, não sentia pena, me deixava muito mal
Você aparecia em filmes classe C, em filmes tão banais
Você aparecia e desaparecia e eu já não te via mais
Eu te perseguia, mexendo na antena, mudando o canal
Eu te perseguia, você não tinha pena, me deixava muito mal

Eu ligo a TV, desligo a TV e ligo pra você
Eu digo que consigo, mas não consigo te esquecer
Eu ligo a TV, desligo a TV e ligo pra você
Eu digo que consigo, mas não consigo te esquecer, wow, wow

Ah, eu preciso te ver, eu preciso te ver
Eu preciso do teu sorriso, você sabe que eu preciso
Eu preciso te ver, eu preciso te ver
Eu preciso do teu sorriso, você sabe que eu preciso
Eu preciso te ver, eu preciso te ver
Eu preciso do teu sorriso, você sabe que eu preciso, ah
Preciso te ver, eu preciso te ver"
Fé Nenhuma,"Não levo fé nenhuma em nada
Não levo fé nenhuma em nada
Não levo fé nenhuma em nada, nada, nada, não
Não levo fé nenhuma em nada, nada, nada

Mas ninguém tem o direito de me achar reacionário
Não acredito no teu jeito revolucionário
Eu sei que você acredita nas notícias do jornal
Mas tudo isso me irrita, me enoja e me faz mal
Ah, por incrível que pareça o teu discurso é tão seguro
Talvez você se esqueça, você também não tem futuro

Não levo fé nenhuma em nada
Não levo fé nenhuma em nada
Não levo fé nenhuma em nada, nada, nada, não
Não levo fé nenhuma em nada, nada, nada

Você quer me pôr no agito no movimento estudantil
Mas eu não acredito no futuro do Brasil
Eu não vou morrer de fome, eu não vou morrer de tédio
Eu não vou morrer pensando em qual seria o remédio
Eu sei de cor seus comentários sobre o mal da alienação
Mas eu não vivo de salário, eu não vivo de ilusão

Não levo fé nenhuma em nada
Não levo fé nenhuma em nada
Não levo fé nenhuma em nada, nada, nada, não
Não levo fé nenhuma em nada, nada, nada"
Longe Demais das Capitais,"Suave é a noite, é à noite que eu saio
Pra conhecer a cidade e me perder por aí
Nossa cidade é muito grande e tão pequena
Tão distante do horizonte, do país
Nossa cidade é muito grande e tão pequena
Tão distante do horizonte, do país

Eu sempre quis viver no Velho Mundo
Na velha forma de viver
O terceiro sexo, a Terceira Guerra, e o Terceiro Mundo
São tão difíceis de entender
Eu sempre quis viver no Velho Mundo
Na velha forma de viver
O terceiro sexo, a Terceira Guerra, e o Terceiro Mundo
São tão difíceis de entender

Suave é a cidade, pra quem gosta da cidade
Pra quem tem necessidade de se esconder
Nossa cidade é tão pequena e tão ingênua
Estamos longe demais das capitais
Nossa cidade é tão pequena e tão ingênua
Estamos longe demais das capitais

Longe demais das capitais
Longe demais das capitais
Longe demais das capitais
Longe demais das capitais

Eu sempre quis viver no Velho Mundo
Na velha forma de viver
O terceiro sexo, a Terceira Guerra, e o Terceiro Mundo
São tão difíceis de entender
Eu sempre quis viver no Velho Mundo
Na velha forma de viver
O terceiro sexo, a Terceira Guerra, e o Terceiro Mundo
São tão difíceis de entender

O terceiro sexo, a Terceira Guerra, o Terceiro Mundo
O terceiro sexo, a Terceira Guerra, e o Terceiro Mundo
O terceiro sexo, a Terceira Guerra, e o Terceiro Mundo
O terceiro sexo, e a Terceira Guerra, e o Terceiro Mundo
O terceiro sexo, a Terceira Guerra, o Terceiro Mundo
O terceiro sexo, a Terceira Guerra, e o Terceiro Mundo"
Nada a Ver,"Um cão sem dono, uma árvore no outono
O nono mês de gravidez
Eu perco o sono ao som de Yoko Ono
E telefono pra vocês

Às vezes eu acordo assutado
A gente não tem nada a ver
Mas quando eu te vejo do meu lado
A gente não tem nada a perder

De dia eu não te vejo nem desejo, eu vejo que não dá
A gente não tem nada a ver
Toda a noite, a noite inteira, eu penso em ti, eu penso em te encontrar
A gente não tem nada a perder

Nada a ver
Nada a perder
Nada a fazer, wow
Oh, nada, não

Sinto muito, sinto tanto, no meu canto, enquanto a noite cai
A gente não tem nada a ver
Sinto saudade, é verdade, nunca é tarde, enquanto a chuva cai
A gente não tem nada a perder
E eu fico sem saber o que fazer, o que vai ser amanhã de manhã
A gente não tem nada a ver
Eu sonho com elegância, arrogância, extravagância do Duran Duran
A gente não tem nada a perder

Nada a ver
Nada a perder
Nada a fazer, wow
Oh, nada, não

Às vezes eu acordo assutado
Às vezes eu acordo do teu lado
Às vezes eu fico acordado
Às vezes eu te vejo, às vezes eu te beijo
Às vezes eu desejo e às vezes eu

Nada a ver
Nada a perder
Nada a fazer, wow
Oh, nada, não


Nada a ver
Nada a perder
Nada a fazer, wow
Oh, nada, não"
Nossas Vidas,"A gente faz de tudo, mas nada faz sentido
Nem as luzes da cidade, nem o escuro de um abrigo
Wow, wow-oh-oh-oh
A gente faz de tudo, mas nada faz sentido, não
Nem a existência de uma guerra, nem a violência do inimigo
Wow, wow-oh-oh-oh

Não posso entender o que fizeram com nossas vidas
Não posso entender por que viramos suicidas
Oh, o que fizeram com nossas vidas?
Oh, por que viramos suicidas?

Eu tô vazio, tô cheio de vícios e o fim da linha é só o início
De uma nova linha, de um novo mundo, de um dia-a-dia cada vez mais absurdo
Wow, wow-oh-oh-oh
Eu já pensei em mandar tudo pro espaço, eu já pensei em mandar tudo pro inferno
Mas não pensei que fosse tão difícil, ficar sozinho numa noite de inverno
Wow, wow-oh-oh-oh

Não posso entender o que fizeram com nossas vidas
Não posso entender por que viramos suicidas
Oh, o que fizeram com nossas vidas?
Oh, por que viramos suicidas?"
Segurança,"Você precisa de alguém que te dê segurança
Senão você dança, senão você dança
Você precisa de alguém que te dê segurança
Senão você dança, senão você dança

Ele era o tal, cheio de moral, ""Bon vivant""
Parecia um galã, usando óculos ""Ray-ban""
Don Juan, corria em Tarumã, combateu no vietnã
Ratatata, vestia ""Yves Saint-Laurent,"" Pierre Cardin

Você precisa de alguém que te dê segurança
Senão você dança, senão você dança
Você precisa de alguém que te dê segurança
Senão você dança, senão você dança

Ele era o tal, cheio de moral, fascinava você
Tinha um Puma-GT com vidro fumê
Tinha sauna no AP, só pra você, pode crer
Lutava Karatê como nos filmes de TV

Você precisa de alguém que te dê segurança
Senão você dança, senão você dança
Você precisa de alguém que te dê segurança
Senão você dança, senão você dança

O que mais me emociona é que tudo nasceu
Numa carona que ele te deu
E o que mais me emociona é que tudo se deu
Num banco traseiro de um Alfa Romeo

Você precisa de alguém que te dê segurança
Senão você dança, senão você dança
Cê precisa, cê precisa, cê precisa, cê precisa de alguém
Senão você dança, senão se cança e rança

Você precisa de alguém que te dê segurança
Senão você dança, senão você"
Sopa de Letrinhas,"Nosso amor é nazifascista
Você se esconde, eu sigo a tua pista
Eu fico sozinho, mas não fico em paz
Eu volto pra casa, você volta atrás
Wow, wow, na na na oh, wow
Nosso amor é medieval
É como uma pedra em vidro de catedral
Ontem á noite, eu tive um sonho exótico
Nós dois por aí, transando sexo gótico

Eu fico sozinho, teu beijo me arranha
Um estranho no ninho, ninguém estranha
Wow, wow, wow

Nosso amor é uma abobrinha
Eu escrevo teu nome numa sopa de letrinhas
Eu fico sonhando em ser astronauta
Eu olho pra lua e sinto a tua falta
Wow, wow, wow, wow
Nosso amor é pós-moderno
Eu quero que você se aqueça nesse inverno
Tenho andado aéreo como tropas minhas no ataque
Fim de noite, fim de mundo lá no fundo do conhaque

Eu fico sozinho, teu beijo me arranha
Um estranho no ninho, ninguém estranha
Wow


Nosso amor é nazifascista
Eu tento fugir, você me conquista
Eu fico sozinho, mas não fico em paz
Eu volto pra casa, você volta atrás

Eu fico sozinho, teu beijo me arranha
Um estranho no ninho, ninguém estranha

Oh, oh
Oh, oh"
Sweet Begônia,"Você diz que eu sou louco, eu digo, ""Louca é você""
Você diz que eu tenho pouco, quase nada a oferecer
Tudo que eu faço, você diz que tá errado
Você me acha um fracasso, e eu não acho isso engraçado

E mais uma pergunta fica sem resposta
Mais uma proposta pra gente ficar junto
Você muda de assunto e eu te pergunto, ""Por quê?""
Eu te pergunto, ""Por quê?"" Eu te pergunto, ""Por quê?""

Eu não te entendo, mas já dependo de ti
Eu não te esqueço, mas nem teu endereço eu consegui
Eu te procuro, tá tão escuro aqui
Eu fico confuso, eu entro em parafuso

E mais uma pergunta fica sem resposta
Mais uma proposta pra gente ficar junto
Você muda de assunto e eu te pergunto, ""Por quê?""
Eu te pergunto, ""Por quê?"" Eu te pergunto, ""Por quê?""

Eu não te entendo, mas já dependo de ti
Eu não te esqueço, mas nem teu endereço eu consegui
Eu te procuro, tá tão escuro aqui
Eu fico confuso, eu entro em parafuso

E mais uma pergunta fica sem resposta
Mais uma proposta pra gente ficar junto
Você muda de assunto e eu te pergunto, ""Por quê?""
Eu te pergunto, ""Por quê?"" Eu te pergunto, ""Por quê?"""
