titulo,letra
Anoiteceu em Porto Alegre,"Na escuridão, a luz vermelha do walkman
Sobre edifícios, a luz vermelha avisa aviões
Nas esquinas que passaram, nas esquinas que virão
Verde, amarelo, vermelho, espelho retrovisor

Anoiteceu em Porto Alegre
Anoiteceu em Porto Alegre

Na escuridão, só você ouve a canção
Eu vejo a luz vermelha do teu walkman
Sobre edifícios, no trigésimo andar
Uma flor vermelha nasceu
Nas esquinas que passaram, nas esquinas que virão
Há sempre alguém correndo, fugindo da Hora do Brasil

Anoiteceu em Porto Alegre
Em Brasília, 19 horas, esta é a Voz do Brasil
Anoiteceu em Porto Alegre

Na zona sul existe um rio
Nesse rio mergulha o sol
E arde fins de tarde de luz vermelha
De dor vermelha, vermelho anil
Atrás do muro existe um rio
Que, na verdade, nunca existiu
Mas arde fins-de-tarde de luz vermelha
De dor vermelha, vermelho anil

Aconteceu à meia-noite
Anoiteceu em Porto Alegre
Aconteceu a noite inteira
Aconteceu em Porto Alegre
Eu disse que acreditassem. Eu pedi que acreditassem. Eu nunca deixei de acreditar que o Grêmio ia ser campeão da América hoje, esta noite, em Porto Alegre

Quinze pras duas, ruas escuras
Quem tem o mapa, qual é a direção?
Duas e meia, castelos de areia
Cabelos castanhos, estranhos sinais
Já passa das três pela última vez
De hoje em diante, só uísque escocês
Cinco da manhã, nada diferente
Chegamos finalmente ao dia de amanhã

Eu trago comigo os estragos da noite
Eu trago comigo os estragos da noite
Eu trago comigo os estragos da noite
E escondo meu rosto entre escombros da noite

Um ditador deposto, marcas no rosto
Um gosto amargo na boca
Uma certeza, só uma certeza
Da próxima vez, só uísque escocês
Duas fichas telefônicas
Um telefone que não para de tocar
Ninguém atende, eu não entendo, tão fazendo onda, tão fazendo charme
E um alarme de carro que não para de tocar (Uo, uo, uo, uo, uo, uo, uo)

Eu trago comigo os estragos da noite
Eu trago comigo os estragos da noite
Eu trago comigo os estragos da noite
Não nego, nego, não

Um canção no rádio, uma versão mal traduzida
Um pastor exorciza no rádio de um táxi
Aqui estaremos em nome de Jesus
Uma certa impressão, uma certeza imprecisa
Para pedir ao anjo de Deus
Quem não precisa de uma versão, uma tradução?
Para colocar as mãos nas profundezas do teu corpo. Para arrancar a macumba. Para a glória, em nome de Jesus Cristo
Um ditador deposto, marcas no rosto
Um gosto amargo na boca
E a certeza de que o último dia de dezembro
É sempre igual ao primeiro de janeiro
O Grêmio vai ser campeão do mundo. O Rio Grande do Sul e o Brasil vão viver uma madrugada que não terminará antes do Sol nascer

Eu trago comigo os estragos da noite
Eu trago comigo os estragos da noite
Eu trago comigo os estragos da noite
Meu reino por um rosto, pelo resto da noite

Noites que passaram, noites que virão
Noites que passamos lado a lado em solidão
Noites de inverno, noites de verão
Noites que viramos, esperando o Sol nascer
Esperando amanhecer
Esperando o Sol nascer

Amanheceu em Porto Alegre
Amanheceu em Porto Alegre
Amanheceu em Porto Alegre
Amanheceu...

Seis horas, quinze minutos, zero segundo
Recomeça tudo lá fora, here comes the sun
The sun is the same in the relative way but you're older
Seis horas, quinze minutos, zero segundo
Recomeça tudo lá fora, nas esquinas, nas escolas
Um litro de leite, meio quilo de pão
Seis horas, quinze minutos, zero segundo
Recomeça tudo lá fora, Neguinho da Zero Hora
Vende manchetes, quinze pras sete da manhã
Nada diferente, chegamos finalmente
Ao dia de amanhã, em Porto Alegre"
A Violência Travestida Faz Seu Trottoir,"No ar que se respira, nos gestos mais banais
Em regras, mandamentos, julgamentos, tribunais
Na vitória do mais forte, na derrota dos iguais
A violência travestida faz seu trottoir
Na procura doentia de qualquer prazer
Na arquitetura metafísica das catedrais
Nas arquibancadas, nas cadeiras, nas gerais
A violência travestida faz seu trottoir
Na maioria silenciosa, orgulhosa de não ter
Vontade de gritar, nada pra dizer
A violência travestida faz seu trottoir
Nos anúncios de cigarro que avisam que fumar faz mal

A violência travestida faz seu trottoir
Em anúncios luminosos, lâminas de barbear
Armas de brinquedo, medo de brincar
A violência travestida faz seu trottoir

No vídeo, idiotice intergaláctica
Na mídia, na moda, nas farmácias
No quarto de dormir, na sala de jantar
A morte anda tão viva, a vida anda pra trás
É a livre iniciativa, igualdade aos desiguais
Na hora de dormir, na sala de estar
A violência travestida faz seu trottoir
Uma bala perdida encontra alguém perdido
Encontra abrigo num corpo que passa por ali
E estraga tudo, enterra tudo, pá de cal
Enterra todos na vala comum de um discurso liberal

A violência travestida faz seu trottoir
Em anúncios luminosos, lâminas de barbear
Armas de brinquedo, medo de brincar
A violência travestida faz seu trottoir


A violência travestida faz seu trottoir
Em anúncios luminosos, lâminas de barbear
Armas de brinquedo, medo de brincar
A violência travestida faz seu trottoir

Tudo que ele deixou foi uma carta de amor
Pra uma apresentadora de programa infantil
Nela ele dizia que já não era criança
E que a esperança também dança como monstros de um filme japonês
Tudo que ele tinha, era uma foto desbotada
Recortada de revista especializada em vida de artista
Tudo que ele queria era encontrá-la um dia
Todo suicida acredita na vida depois da morte
Tudo que ele tinha, cabia no bolso da jaqueta
A vida quando acaba, cabe em qualquer lugar
E a violência travestida faz seu trottoir

Não se renda às evidências
Não se prenda à primeira impressão
(À primeira impressão)
Eles dizem com ternura, ""O que vale é a intenção""
E te dão um cheque sem fundos do fundo do coração
(Do fundo do coração)
No ar que se respira, nessa total falta de ar
A violência travestida faz seu trottoir

Em armas de brinquedo, medo de brincar
Em anúncios luminosos, lâminas de barbear
Nos anúncios de cigarro que avisam que fumar faz mal
A violência travestida faz seu trottoir
A violência travestida faz seu trottoir
A violência travestida faz seu trottoir"
Era um Garoto que como Eu Amava os Beatles e os Rolling Stones,"Era um garoto que como eu amava os Beatles e os Rolling Stones
Girava o mundo, sempre a cantar as coisas lindas da América
Não era belo mas, mesmo assim, havia mil garotas a fim
Cantava ""Help"" and ""Ticket to Ride,"" oh, ""Lady Jane,"" ""Yesterday""
Cantava viva à liberdade, mas uma carta, sem esperar
Da sua guitarra o separou, fora chamado na América
Stop com Rolling Stones, stop com Beatles' songs
Mandado, foi ao Vietnã lutar com vietcongs

Tá-tá, tá-tá, tá, tá-tá, tá-tá, tá
Tá-tá, tá-tá, tá, tá-tá, tá-tá, tá
Tá-tá, tá-tá, tá, tá-tá, tá-tá, tá
Tá-tá, tá-tá, tá

Era um garoto que como eu amava os Beatles e os Rolling Stones
Girava o mundo, mas acabou fazendo a guerra do Vietnã
Cabelos longos não usa mais, não toca a sua guitarra e sim
Um instrumento que sempre dá a mesma nota, ra-tá-tá-tá
Não tem amigos, não vê garotas, só gente morta caindo ao chão
Ao seu país não voltará, pois está morto no Vietnã
Stop com Rolling Stones, stop com Beatles' songs
No peito um coração não há, mas duas medalhas sim

Tá-tá, tá-tá, tá, tá-tá, tá-tá, tá
Tá-tá, tá-tá, tá, tá-tá, tá-tá, tá
Tá-tá, tá-tá, tá, tá-tá, tá-tá, tá
Tá-tá, tá-tá, tá
Tá-tá, tá-tá, tá, tá-tá, tá-tá, tá
Tá-tá, tá-tá, tá, tá-tá, tá-tá, tá
Tá-tá, tá-tá, tá, tá-tá, tá-tá, tá
Tá-tá, tá-tá, tá

Brasil! Brasil! Brasil!

Tá-tá, tá-tá, tá, tá-tá, tá-tá, tá
Tá-tá, tá-tá, tá, tá-tá, tá-tá, tá
Tá-tá, tá-tá, tá, tá-tá, tá-tá, tá
Tá-tá, tá-tá, tá
Tá-tá, tá-tá, tá, tá-tá, tá-tá, tá
Tá-tá, tá-tá, tá, tá-tá, tá-tá, tá
Tá-tá, tá-tá, tá, ra-tá-tá-tá
Ra-tá-tá-tá"
Ilusão de Ótica,"Eu entendo você que não me entende
Eu entendo você que não me entende
Eu não prendo você, não se surpreenda
Quando eu digo ""Sim,"" quando eu digo ""Não""
Quando eu digo ""Talvez,"" você não entende
É natural, naturalmente
Às vezes digo ""Sim,"" às vezes digo ""Não""
Eu entendo você que não me entende
Eu entendo você que não me entende
Eu surpreendo você que não me prende
Tire as mãos de mim, me dê a sua mão
Cada um tem o seu ponto de vista
Encare a ilusão da sua ótica
Os olhos dizem ""Sim"" e o olhar diz ""Não""

Na visão da macrostória toda guerra é igual
A visão do microscópio é o ópio do trivial
Na visão da macrostória nada gera um general
A visão do microscópio é o ópio do trivial

Sou cego, não nego
Enxergo quando puder
Só vejo, obscuro objeto, desejo indireto
Será que você me entende?
Nieh, odnarucorp át êc euq é euq o, oirártnoc oa ossi odnivuo át êc euq rop

Não se renda às evidências, não se prenda à primeira impressão
O que não foi impresso, continua sendo escrito à mão

Odanoicnetni meb, odidnetne lam
Odarutneva meb, odamrofni lam
Saielab sa evlas, avlas suseJ
Xaler, xes efas, sorvil aiel
Erbop e siap o, pop e apap o
Opop ues on ipip uem o, ocuop e BIP o
Errop mu e aiseop, ipip uem on opop ues o
Satesimac sairav oas orielisarb lobetuf o
Setnaregirfer ed adnagaporp amsem a moc
Arielisarb edutnevuj a
Rednefed arp sarietnorf mes, ariednab mes
Ariednab mes, rednefed arp sarietnorf mes
Arielisarb edutnevuj a
Setnaregirfer ed adnagaporp amsem a moc
Satesimac sairav oas"
Nunca Mais Poder,"Todo mundo é eterno, todo mundo é moderno
Como um relógio antigo
No underground, no mainstream
Todo mundo é moderno, todo mundo é eterno
Ontem, ano passado, antigamente
Amanhã, ano que vem, ano 2000
Todo mundo é moderno, todo mundo é eterno
Da boca pra fora, do fundo do coração

Todo mundo é moderno, todo mundo é eterno
Como um relógio antigo, uh, uh-uh-uh

(Cultura e hora certa pra você)
Todo mundo é eterno, todo mundo é moderno
Como um relógio antigo
Atrás do brilho e de barulho, escondido dentro de si mesmo
Todo mundo é moderno, todo mundo é eterno
Em Havana, no Havaí, no Hawaii, na highway
Malditos, benditos, acabados e infinitos
Todo mundo é moderno, todo mundo é eterno
Quem cura, quem envenena, quem gera e quem extermina

Todo mundo é moderno, todo mundo é eterno
Como um relógio antigo, uh, uh-uh-uh

Então, por que esse medo de ficar pra trás?
De não ser sempre mais, de nunca mais poder?
Então, por que esse medo de ficar pra trás?
De não ser sempre mais, de nunca mais poder?

Todo mundo é moderno, todo mundo é eterno
Como um relógio antigo, uh, uh-uh-uh

Todo mundo é eterno, todo mundo é moderno
Como um calendário do ano passado
Como a coluna Prestes, as colunas do Niemeyer
Como a holanda de '74, ym símbolo sexual dos anos 60
Todo mundo é moderno, todo mundo é eterno
O papa é moderno, o pop é eterno

Então, por que esse medo de ficar pra trás?
De não ser sempre mais, de nunca mais poder?

Todo mundo é moderno, todo mundo é eterno
Como um relógio antigo, uh"
"O Exército de um Homem Só, I","Não importa se só tocam o primeiro acorde da canção
A gente escreve o resto em linhas tortas nas portas da percepção
Em paredes de banheiro nas folhas que o outono leva ao chão
Em livros de estórias seremos a memória dos dias que virão
Se é que eles virão
Não importa se só tocam o primeiro verso da canção
A gente escreve o resto sem muita pressa, com muita precisão
Nos interessa o que não foi impresso e continua sendo escrito à mão
Escrito à luz de velas quase na escuridão
Longe da multidão

Somos um exército, o exército de um homem só
No difícil exercício de viver em paz
Somos um exército, o exército de um homem só
Sem bandeira, sem fronteiras
Pra defender, pra defender

Não importa se só tocam o primeiro acorde da canção
A gente escreve o resto e o resto é resto, é falsificação
Sangue falso, bang-bang italiano, suíngue falso, turista americano
Livres desta estória, a nossa trajetória não precisa explicação
E não tem explicação

Somos um exército, o exército de um homem só
No difícil exercício de viver em paz
Somos um exército, o exército de um homem só
Sem bandeira, sem fronteiras
Pra defender, pra defender

Não interessa o que o bom senso diz, não interessa o que diz o rei
Se o jogo não há juiz, não há jogada fora da lei
Não interessa o que diz o ditado, não interessa o que o Estado diz
Nós falamos outra língua, moramos em outro país

Somos um exército, o exército de um homem só
No difícil exercício de viver em paz
Somos um exército, o exército de um homem só
Todos sabem que tanto faz
Ser culpado ou ser capaz"
"O Exército de um Homem Só, II","Somos kamikazes incapazes de ir à luta
Somos quase livres, isto é pior do que a prisão
Somos um exército, o exército de um homem só
Um bando de vampiros que odeiam sangue
Sem bandeira, sem fronteiras para defender
Somos um exército, o exército de um homem só
Nesse exército, no exército de um homem só
Todos sabem que tanto faz
Ser culpado ou ser capaz
Tanto faz

Ei, sentido
Sim, senhor
Não faz
Sentido
Sentido
Sim, senhor
Não faz
Sentido"
Olhos Iguais aos Seus,"Uma nuvem cobre o céu, uma sombre envolve o seu olhar
Você olha ao seu redor e acha melhor parar de olhar
São olhos iguais aos seus, iguais ao céu ao seu redor
São olhos iguais aos seus
Uma nuvem cobre o céu, uma sombre envolve o seu olhar
Você olha ao seu redor e acha melhor parar de olhar
São olhos iguais aos seus, iguais ao céu ao seu redor
São olhos iguais aos seus

O que faz as pessoas parecerem tão iguais?
O que faz as pessoas parecerem tão iguais?
O que faz as pessoas parecerem tão iguais?
Por que razão essa igualdade se desfaz?
Qual a razão desse disfarce no olhar?
No olhar, no olhar

Uma nuvem cobre o céu, uma sombre envolve o seu olhar
Você olha ao seu redoer e acha melhor parar de olhar
São olhos iguais aos seus, iguais ao céu ao seu redor
São olhos iguais aos seus

O que faz as pessoas parecerem tão iguais?
O que faz as pessoas parecerem tão iguais?
O que faz as pessoas parecerem tão iguais?
Por que razão essa igualdade se desfaz?
Qualé a razão desse disfarce no olhar?
Oh-oh-oh, oh-oh-oh


O que faz as pessoas parecerem tão iguais?
O que faz as pessoas parecerem tão iguais?
O que faz as pessoas parecerem tão iguais?
O que fazem as pessoas para serem tão iguais?
O que fazem as pessoas para serem tão iguais?
O que fazem as pessoas para serem tão iguais?
O que fazem as pessoas para serem tão iguais?"
O Papa é Pop,"O pop não poupa ninguém

Todo mundo tá relendo o que nunca foi lido
Todo mundo tá comprando os mais vendidos
É qualquer nota, qualquer notícia, páginas em branco, fotos coloridas
Qualquer nova, qualquer notícia, qualquer coisa que se mova
É uma alvo e ninguém tá salvo
E todo mundo tá revendo o que nunca foi visto
Tá na cara, tá na capa da revista
Qualquer nota, uma nota preta, páginas em branco, fotos coloridas
Qualquer rota, rotatividade, qualquer coisa que se mova
É um alvo e ninguém tá salvo
Um disparo, um estouro

O papa é pop, o papa é pop
O pop não poupa ninguém
O papa levou um tiro à queima roupa
O pop não poupa ninguém
O papa é pop, o papa é pop, o presidente é pop, um indigente é pop
O pop não poupa ninguém, nós somos pop também
O papa levou um tiro à queima roupa, a minha mente é pop, a tua mente é pop
O pop não poupa ninguém, não poupa ninguém

Uma palavra na tua camiseta, o planeta na tua cama
Uma palavra, escrita à lápis, eternidades da semana
Qualquer nota, qualquer notícia, páginas em branco, fotos coloridas
Qualquer coisa quase nova, qualquer coisa que se mova
É um alvo e ninguém tá salvo
Um disparo, um estouro, woah

O papa é pop, o papa é pop
O pop não poupa ninguém
O papa levou um tiro à queima roupa
O pop não poupa ninguém
O papa é pop, o papa é pop, o presidente é pop, um indigente é pop
O pop não poupa ninguém, nós somos pop também
O papa levou um tiro à queima roupa, antigamente é pop, atualmente é pop
O pop não poupa ninguém, não poupa ninguém

Toda catedral é populista, é pop, é macumba pra turista
E, afinal, o que é rock'n'roll? Os óculos do John ou o olhar do Paul?


O papa é pop, o papa é pop
O pop não poupa ninguém, guém, guém, guém, guém
O papa levou um tiro a queima roupa, o papa é pop, o papa é pop
O pop não poupa ninguém
O papa é pop, o papa é pop
O pop não poupa ninguém, guém, guém, guém, guém
O papa levou um tiro a queima roupa, o papa é pop, o papa é pop
O pop não poupa, o pop não poupa
O pop não poupa... ninguém"
Perfeita Simetria,"Toda vez que toca o telefone, eu penso que é você
Toda noite de insônia, eu penso em te escrever
Pra dizer que o teu silêncio me agride
E não me agrada ser um calendário do ano passado
Pra dizer que teu crime me cansa
E não compensa entrar na dança
Depois que a música parou
A música parou, parou
Toda vez que toca o telefone, eu penso que é você
Toda noite de insônia, eu penso em te escrever
Escrever uma carta definitiva que não dê alternativa pra quem lê
Te chamar de carta fora do baralho
Descartar, embaralhar você
E fazer você voltar

Ao tempo em que nada nos dividia
Havia motivo pra tudo, tudo era motivo pra mais
Era perfeita simetria
Éramos duas metades iguais
Ao tempo em que nada nos dividia
Havia motivo pra tudo, tudo era motivo pra mais
Era perfeita simetria
Éramos duas metades iguais

O teu maior defeito talvez seja a perfeição
Tuas virtudes talvez não tenham solução
Então pegue o telefone ou um avião
Deixe de lado os compromissos marcados
Perdoa o que puder ser perdoado
E esquece o que não tiver perdão
E vamos voltar aquele lugar, vamos voltar

Ao tempo em que nada nos dividia
Havia motivo pra tudo, tudo era motivo pra mais
Era perfeita simetria
Éramos duas metades iguais
Ao tempo em que nada nos dividia
Havia motivo pra tudo, tudo era motivo pra mais
Era perfeita simetria
Éramos duas metades iguais

Vamos voltar
Vamos voltar
Vamos voltar
Vamos voltar

Ao tempo em que nada nos dividia
Havia motivo pra tudo, tudo era motivo pra mais
Era perfeita simetria
Éramos duas metades iguais"
