titulo,letra
Algo Por Você,"Um, dois, um, dois, três, quatro

Hey, garota, não fique esperando o telefone tocar
Os homens são o que são e são todos iguais
O difícil é saber quem é clone de quem
Quem é clone de quem, quem é clone de quem
Hey, garota, não fique esperando o telefone tocar
De volta ao passado, tecendo tapetes
Esperando o guerreiro voltar

Já lhe fizeram sofrer demais
Já lhe fizeram feliz demais
Tá na hora de você mesma fazer algo por você
Só você pode fazer


Hey, garota, o dia já passou, não deixe a noite passar
Passe um batom, ou não, e vá se divertir
Você vai descobrir quem é clone de quem
Quem é clone de quem, quem é clone de quem
Mas quem é clone de quem, quem é clone de quem

Já lhe fizeram sofrer demais
Já lhe fizeram feliz demais
Tá na hora de você mesma fazer algo por você
Só você pode fazer

Hey, garota, faça um favor
Não fique esperando, faça algo por você
Hey, garota, faça um favor
Não fique esperando, faça algo por você
Não fique esperando, faça algo por você
Faça algo por você, faça algo por você
Faça algo por você
Só você pode fazer, mas só você pode fazer
Algo por você, só você pode fazer"
A Perigo,"Planos de voô
Tava tudo em cima, céu de brigadeiro sobre nós, sobre nós
Pane, pânico
Perdemos a altura, puxaram o tapete voador

Hoje estamos a perigo
Hoje estamos separados, divididos
Mas um dia, um dia
Nós seremos a maioria

Pane, que pena
Panos quentes
Fica tudo como está, no mesmo lugar impunemente

Hoje estamos a perigo
Hoje estamos separados, divididos
Mas um dia, um dia
Nós seremos a maioria


Eu sigo em frente, pra frente eu vou
Eu sigo em frente, pra frente eu vou
Eu sigo em frente, pra frente eu vou
Eu sigo enfrentando a onda onde muita gente naufragou
Ah, ah, ah
Ah, ah, ah
Nós seremos a maioria
Seremos a maioria"
A Promessa,"Não vejo nada, o que eu vejo não me agrada
Não ouço nada, o que eu ouço não diz nada
Perdi a conta das pérolas e porcos
Que eu cruzei pela estrada
Estou ligado à cabo a tudo que acaba de acontecer
Propaganda é a arma do negócio
No nosso peito bate um alvo muito fácil
Mira à laser, miragem de consumo
Latas e litros de paz teleguiada
Estou ligado à cabo a tudo que eles tem pra oferecer

O céu é só uma promessa
Eu tenho pressa, vamos nessa direção
Atrás de um sol que nos aqueça
Minha cabeça não aguenta mais
O céu é só uma promessa
Eu tenho pressa, vamos nessa direção
Atrás de um sol que nos aqueça
Minha cabeça não aguenta mais

Tu me encontrastes de mãos vazias
E eu te encontrei na contramão
Na hora exata, na encruzilhada
Na highway da superinformação
Estamos tão ligados, já não temos o que temer

O céu é só uma promessa
Eu tenho pressa, vamos nessa direção
Atrás de um sol que nos aqueça
Minha cabeça não aguenta mais
O céu é só uma promessa
Eu tenho pressa, vamos nessa direção
Atrás de um sol que nos aqueça
Minha cabeça não aguenta mais
Não aguenta mais

O céu é só uma promessa
Eu tenho pressa, vamos nessa direção
O céu é só uma promessa
Eu tenho pressa, vamos nessa direção
O céu é só uma promessa"
Hora do Mergulho,"La-la-la, la-la-la
La-la-la, la-la-la
La-la-la, la-la-la

Feche a porta, esqueça o barulho
Feche os olhos, tome ar, é hora do mergulho
Eu sou moço, seu moço, e o poço não é tão fundo
Super-Homem, não supera a superfície
Nós mortais, viemos do fundo
Eu sou velho, meu velho, tão velho quanto o mundo

Eu quero paz, uma trégua
Do lilás-neon-Las Vegas
Profundidade, 20.000 léguas
""Se queres paz, te prepara para a guerra""
""Se não queres nada, descansa em paz""
""Luz,"" pediu o poeta, últimas palavras, lucidez completa
Depois, silêncio


Esqueça a luz, respire o fundo
Eu sou um déspota esclarecido nessa escura e profunda mediocracia
La-la-la, la-la-la
La-la-la, la-la-la
La-la-la, la-la-la
La-la-la, la-la-la
La-la-la, la"
Ilex Paraguarienses,"Hoje eu acordei mais cedo, tomei sozinho o chimarrão
Procurei a noite na memória, procurei em vão
Hoje eu acordei mais leve, nem li o jornal
Tudo deve estar suspenso, nada deve pesar
Já vivi tanta coisa, tenho tantas a viver
Tô no meio da estrada e nenhuma derrota vai me vencer
Hoje eu acordei livre, não devo nada a ninguém
Não há nada que me prenda

Ainda era noite, esperei o dia amanhecer
Como quem aquece a água sem deixar ferver
Hoje eu acordei, agora eu sei viver no escuro
Até que a chama se acenda
Verde, quente, erva, ventre, dentro, entranhas
Mate amargo, noite adentro, estrada estranha

Nunca me deram mole, não (Melhor assim)
Não sou a fim de pactuar (Sai pra lá)
Nunca me deram mole, não (Melhor assim)
Não sou a fim de pactuar (Sai pra lá)
Se pensam que eu tenho as mãos vazias e frias (Melhor assim)
Se pensam que as minhas mãos estão presas (Surpresa)
Mãos e coração, livres e quentes, chimarrão e leveza
Mãos e coração, livres e quentes, chimarrão e leveza

Ilex paraguariensis
Ilex paraguariensis
Ilex paraguariensis
Ilex paraguariensis
Ilex paraguariensis
Ilex paraguariensis"
Lado a Lado,"Não me pergunte em que dia eu nasci
Não me pergunte em que cidade eu nasci
Esqueça as curvas da estrada de Santos
Se tu quiseres saber quem eu sou, se tu quiseres saber quem eu sou

Me dá a tua mão
Vem viver, vem lutar lado a lado
Me dá a tua mão
Vem viver, vem lutar lado a lado

Desarme as armadilhas, não me peça explicação
O filme favorito, time do coração
O lugar mais esquisito onde já fiz uma canção
Esqueça o roteiro, não pergunte que horas são, eu não sei

Me dá a tua mão
Vem lutar, vem viver ao meu lado
Vem aprender
A ganhar e a perder lado a lado
Do meu lado

Se tu quiseres saber quem eu sou, vem
Se tu quiseres saber quem eu sou, vem
Se tu quiseres saber quem eu sou

Me dá a tua mão
Vem viver, vem lutar lado a lado
Me dá a tua mão
Me protege e terás proteção
Minha mão, meu irmão"
Lance de Dados,"Daqui não tem mais volta, pra frente é sem saber
Pequenos paraísos e riscos a correr
Os deuses jogam pôquer e bebem no saloon
Doses generosas de BR-101
Tá escrito há 6.000 anos em para-choques de caminhão
Atalhos perigosos feito frases feitas
Os deuses dão as cartas, o resto é com você

No fundo tudo é ritmo, a dança foge do salão
Invade a autoestrada do átomo ao caminhão
O fim é puro ritmo, o último suspiro é purificação
Os deuses dão as costas, agora é só você


Os deuses dão as cartas, agora é só você
Querer"
O Castelo dos Destinos Cruzados,"Quando você me disse que não era nada
Daquilo que a gente sempre imaginou
Um vento frio soprou, uma janela bateu
Na noite escura da alma
Quando você me olhou daquele jeito
Que só você olhava
Um passarinho voou baixinho
Deixou pra trás tudo que acreditava
Quando as paredes e o teto caíram
Eu pensei que era o final
Mas era só o começo de um problema
Só um pesadelo normal

Lembra de mim, você me enlouquece
A cabeça diz que é besteira, mas o coração não esquece
Lembra de mim, você me enlouquece
A cabeça diz que é besteira, mas o coração não esquece

No castelo dos destinos que se cruzam no tempo
Ninguém liga se já foi ou se ainda pode ser
Uma criança que nasceu em 62
Uma mulher que eu conheci em 43
Os dias passam lentamente pra quem pensa nos dias
Semanas e semanas só pensando em você
O tempo pinga lento, dentro do meu talismã
Nas estrelas de centauro, hoje é o ontem do amanhã

Lembra de mim, você me enlouquece
A cabeça diz que é besteira, mas o coração não esquece
Lembra de mim, você me enlouquece
A cabeça diz que é besteira, mas o coração não esquece, ah

No castelo dos destinos cruzados
O viajante que chegou pode ser você
Eu fiz de tudo que eu pude para te esquecer
A morte vive aqui do lado só que a gente não vê
Uma pessoa que ficou perdida
Uma pessoa que caiu do céu
Uma pessoa que você já conhecia
Muito antes de nascer e que você perdeu

Perdeu, perdeu, perdeu
Perdeu, perdeu, perdeu

Lembra de mim, você me enlouquece
A cabeça diz que é besteira, mas o coração não esquece
Lembra de mim, você me enlouquece
A cabeça diz que é besteira, mas o coração não esquece"
Por Acaso,"Não, eu não posso negar
Não adianta disfarçar
Agora você me prensou contra a parede
Eu não passava por aí por acaso, ah
Não, eu não olhava pra você por acaso

Eu sempre quis você
Se eu não me fiz entender
Não foi por mal, não foi por nada
Nada foi por acaso

Tudo que já fizemos juntos
E o que deixamos de fazer
Desaba alta madrugada
E nada faz a menor diferença
Quando a gente pensa no que ainda pode ser

Se eu não te fiz entender
Que era feliz com você
Não foi por mal
Não foi por nada
Nada foi por acaso

Da janela do avião eu vejo Porto Alegre
Vejo o futuro em flashback
Meu pai, minha filha, nossa casa
Da janela do avião eu vejo por acaso
O nosso caminho, moinhos de vento
Glória, independência, a nossa redenção
Vejo da janela do avião

Eu sempre quis voltar
Eu sempre quis você
Um dia eu quis tudo
Tudo estava aqui, por aí
Porto Alegre por acaso"
Simples de Coração,"Volta pra casa, me traz na bagagem, tua viagem sou eu
Novas paisagens, destino, passagem, tua tatuagem sou eu
Casa vazia, luzes acesas, só pra dar a impressão
Cores e vozes, conversas animadas, é só a televisão

Já perdemos muito tempo brincando de perfeição
Esquecemos o que somos, simples de coração

Volta voando, vinda do alto, derrete o chumbo do céu
Antes que eu saia pela tangente no giro do carrossel
Falta uma volta, ponteiros parados, tudo dança em torno de ti
Volta pra casa, fim da viagem, bem-vinda à vida real

Já perdemos muito tempo brincando de perfeição
Agora é bola pra frente, agora é bola no chão
Já brincamos muito tempo, até perder a direção
Na santa paz de Deus, no mais perfeito caos


Simples de coração, simples de coração
Simples de coração"
