titulo,letra
3ª do Plural,"Corrida pra vender cigarro, cigarro pra vender remédio
Remédio pra curar a tosse, tossir, cuspir, jogar pra fora
Corrida pra vender os carros, pneu, cerveja e gasolina
Cabeça pra usar boné e professar a fé de quem patrocina

Eles querem te vender, eles querem te comprar
Querem te matar, a sede, eles querem te sedar

Quem são eles? Quem eles pensam que são?
Quem são eles? Quem eles pensam que são?
Quem são eles?
Quem são eles?

Corrida contra o relógio, silicone contra a gravidade
Dedo no gatilho, velocidade, quem mente antes diz a verdade
Satisfação garantida, obsolescência programada
Eles ganham a corrida antes mesmo da largada

Eles querem te vender, eles querem te comprar
Querem te matar de rir, querem te fazer chorar

Quem são eles? Quem eles pensam que são?
Quem são eles? Quem eles pensam que são?
Quem são eles?
Quem são eles?

Vender, comprar, vedar os olhos
Jogar a rede, contra a parede
Querem te deixar com sede
Não querem te deixar pensar

Quem são eles? Quem eles pensam que são?
Quem são eles? Quem eles pensam que são?
Quem são eles?
Quem são eles?"
Arame Farpado,"Seria engraçado se não fosse triste
Acesso negado, a gente não existe
Arame farpado, silêncio de chumbo
Seria absurdo se não fosse lei
A serpente troca de pele, a gente não esquece
O avião reabastece sem deixar de voar

Não sofro mais, agora eu sei
O que nos faz sobreviver
Não sofro mais, agora eu sei
O que nos fez sobreviver

Seria ruído se não fosse um sinal
Só pra iniciados, transe tribal
Seriam ruínas, mas a gente não esquece
O avião reabastece em pleno ar

Não sofro mais, agora eu sei
O que nos faz sobreviver
Não sofro mais, agora eu sei
O que nos fez sobreviver"
Datas e Nomes,"Aceite o mal que eu fiz a mim mesmo
Como um cachimbo da paz depois da explosão
E, se não for pedir demais, um último beijo
E, se não for pedir demais, mata essa vontade de viver

Amanhã vamos rir de tudo isso
Amanhã vamos trocar datas e nomes
Amanhã o vinho vai brindar a uva
Amanhã

Entenda os sinais, a mudança dos tempos
Lá vem vendaval na loja de cristais
E, se não for pedir demais, bola pra frente (Demais, demais)
Semente no chão, bomba-relógio na mão

Amanhã vamos rir de tudo isso
Amanhã vamos trocar datas e nomes
Amanhã o vinho vai brindar a uva
Amanhã

Hey, menina, eu sei que o tempo cicatriza
Hey, menina, vamos rir do que nos fez chorar
Amanhã
Amanhã"
Esportes Radicais,"Preso no trânsito de astros imóveis
Faço as contas na ponta do lápis
E nada faz sentido, nada faz sentido
Adrenalina é uma menina dormindo, dançando em silêncio imaginando um reggae
Cansei de alimentar os motores, agora quero freios e airbag
Pois nada faz sentido, nada faz sentido
Se capricórnio fosse câncer, se Califórnia fosse França
A rampa que lança o skate ao céu seria nosso chão
180, 360, 540 graus
Girando, esquentando só pra ver até quando o motor aguenta o caos

Não vou ficar parado, não vou passar batido
Se nada faz sentido, há muito que fazer
Não vou ficar parado, não vou passar batido
Se nada faz sentido, há muito que fazer

Não há alternativa, é a única opção
Unir o otimismo da vontade e o pessimismo da razão
Contra toda expectativa, contra qualquer previsão
Há um ponto de partida, há um ponto de união:
Sentir com inteligência, pensar com emoção


Não vou ficar parado, não vou passar batido
Se nada faz sentido, há muito que fazer
Se nada faz sentido, há muito que fazer
Se nada faz sentido"
E-Stória,"Cara, tu não vai nem acreditar, continuo mergulhando sem saber nadar
E, cara, 'cê não vai acreditar, mas eu tô plantando manga na margem do Paranoá
Não acredito, cara, quer trocar de lugar? Às vezes fico a fim de mandar tudo pro espaço
Calma aí, maninho, tô voltando pro pedaço, se isso não der samba, pelo menos dá um abraço

Agora, agora, virando as voltas que essa vida dá
Agora, agora, surfando Karmas e DNA

Cara, tu não vai nem acreditar, aqui em Porto Alegre anda tudo ZH
E, cara, 'cê não vai acreditar, aqui em Brasília ainda tem gente que gosta de trabalhar
Cara, tu não vai nem acreditar, andei pensando no futuro com ortomolecular
Legal, mano, também vou experimentar, mas se a coisa ficar preta o negócio é aquele chá
Cara, tu não vai nem acreditar, tava pensando mesmo nisso antes de conectar

Agora, agora, virando as voltas que essa vida dá
Agora, agora, surfando Karmas e DNA

Adriane e Clara mandam beijos pra vocês, coisas que não cabem nos encartes dos CDs
Talvez no final do ano ou talvez no final do mês, dou um pulo em Porto Alegre, Silva Jardim, 433
Cara, tu não vai nem acreditar (Nem acreditar, nem acreditar)
Cara, tu não vai nem acreditar (Acreditar)
Master de TC, Flap de SP2
Nós dois a pé na Carlos Gomes, camburão pintou depois
(Jogam bombas em Nova Iorque, jogam bombas em Cabul
Como se jogassem a lata fora depois de beber um Red Bull)
Crepe de banana, advogados de Havana
Não pergunte quem foi Ana, nem o que é ""Trottoir""

Agora, agora, virando as voltas que essa vida dá
Agora, agora, surfando Karmas e DNA
Agora, agora, virando as voltas que essa vida dá
O passado já foi, o futuro virá, surfando Karmas e DNA
Virando e-Stória, e-Stórias
Virando e-Stória, e-Stórias

Rosana chegou, o futuro verá"
Nem + 1 Dia,"O café me deixou ligado, você ficou de ligar
E a noite foi um inferno, desespero de esperar
O passado voltou rasgando, você ficou de voltar
Antes que eu sentisse a falta, antes que faltasse o ar
O sol voou rasante pra me bombardear
Boca de extinguir espécies, mãos de acelerar partículas
Antenas para radioatividade
Olhos de ler código de barras

Se viver fosse viver sem você, que bom seria
Mas não dá mais pra viver sem você nem mais um dia
Se viver fosse viver sem você, que bom seria
Mas não dá mais pra viver

Chame de exagero, diga que é bobagem
Vou deletar meu corpo da tua tatuagem
Puro desespero, autosabotagem
Tô fora do teu programa de milhagem
Boca de extinguir espécies, mãos de acelerar partículas
Antenas para radioatividade
Olhos de ler código de barras


Se viver fosse viver sem você, que bom seria
Mas não dá mais pra viver sem você (Sem você, sem você)
Se viver fosse viver sem você, que bom seria
Mas não dá mais pra viver sem você"
Nunca Mais,"Não é o que se pode chamar de uma história original
Mas não importa, é a vida real
Acordar de madrugada vindo de outro planeta, sentir-se só
Uma criança num berço de ouro e a ferrugem ao seu redor
Os muros da cidade falavam alto demais
Coisas que ela não podia mudar nem suportar
Ela quis voltar para casa, cansou da violência que ninguém mais via
Viu milhões de fotografias e achou todas iguais

Conta pra mim o que te fez chorar
Nunca mais quero te ver chorar
Conta pra mim o que te fez chorar
Nunca mais quero te ver chorar, nunca mais

Ofereci abrigo, um lugar para ficar
E ela me olhou como se soubesse desde o início que eu também não era dali
E quando sorriu, ficou ainda mais bonita
Tinha a força de quem sabe que a hora certa vai chegar
Lágrimas no sorriso, mãe e filha, chuva e sol
Segredos que não podia guardar, e não conseguia contar

Conta pra mim o que te fez chorar
Nunca mais quero te ver chorar
Conta pra mim o que te fez chorar
Nunca mais quero te ver chorar, nunca mais


Ainda ando pelas mesmas ruas
A cidade cresce e tudo fica cada vez menor
Agora eu sei que a vida não é um jogo de palavras cruzadas onde tudo se encaixa
O que será que ela quis dizer? Cinco letras, começando com a letra ""A""

Conta pra mim o que te fez chorar
Nunca mais quero te ver chorar (Nunca mais, nunca mais)
Conta pra mim o que te fez chorar
Nunca mais quero te ver chorar (Conta pra mim, conta pra mim)
Conta pra mim o que te fez chorar
Nunca mais quero te ver chorar (Nunca mais, nunca mais)
Conta pra mim o que te fez chorar
Nunca mais quero te ver chorar (Nunca mais)
Não, nunca mais quero te ver chorar, nunca mais (Nunca mais)"
Pra Ficar Legal,"Agora não, ainda é cedo pra entender
Vou sair do ar um tempo
Na contramão do que está por acontecer
Vou respirar com paciência

Sei que lá fora brilham luzes artificiais
Lá fora o fogo das caldeiras pede mais e mais
Querem sempre mais

Louco pra ficar legal
Longe da euforia industrial
Louco pra ficar legal
Longe da histeria carnaval

Agora não, muito tarde pra entender
Eu tô fechado pra balanço
Na contramão de tudo que dizem que aconteceu
Eu vou sair da área de alcance

Sei que lá fora a banda toca em outro tom
Lá fora ainda rimam soluções
Lá fora violência vende mais

Louco pra ficar legal
Longe de um romance policial
Louco pra ficar legal
Longe, Porto Alegre, Rio, Nepal

Louco pra ficar em paz
Louco pra ficar legal"
Ritos de Passagem,"Medo (Medo) de voltar pra casa, medo de sair de casa
E encontrar tudo no mesmo lugar
Medo (Medo) de abrir os olhos, medo de fechar os olhos
E enxergar o que não quer nem imaginar

Quanto tempo faz uma semana atrás?
No topo do mundo, na crista da onda
Numa euforia de se estranhar
Pouco tempo faz, uma semana atrás
No topo do mundo, na crista da onda
Um mergulho em busca de ar

Tudo mudou, ela acordou
Estava onde nunca quis estar

Livre (Livre) para ir e vir, para ficar onde está
Outro modo de ver a queda
Livre (Livre) como sempre quis, livre como nunca imaginou
Outro modo de ver o muro desabar

Quanto tempo faz uma semana atrás?
No topo do mundo, na crista da onda
Numa euforia de se estranhar
Pouco tempo faz, uma semana atrás
No topo do mundo, na crista da onda
Um mergulho em busca de ar

Tudo mudou, ela acordou
Estava onde nunca quis estar
Tudo mudou, ela acordou
Estava onde nunca, nunca quis estar


Tudo mudou, ela acordou
Estava onde nunca quis estar
Tudo mudou, ela acordou
Estava onde nunca, nunca quis estar
Ela mudou, tudo acabou
Ela está pronta pra recomeçar"
Sei Não,"Não sei qual foi a causa e quais serão as consequências
A borboleta bate as asas e o vento vira violência
Não sei a soma exata, só a ordem de grandeza
Não sermos literais às vezes faz nossa beleza
Às vezes faz nossa cabeça, um par de olhos
Um pôr de sol às vezes faz a diferença

Tentei ficar na minha, tentei ficar contigo
O que há de mais moderno ainda é um sonho muito antigo
Tentei ser teu futuro, tentei ser teu amigo
O que há de mais seguro também corre perigo

Não sei a quantas anda, é da nossa natureza
Não saber o que fazer às vezes faz nossa certeza
Às vezes faz nossa cabeça, um par de olhos
Um pôr de sol às vezes faz a diferença

Tentei ficar na minha, tentei ficar contigo
O que há de mais moderno ainda é um sonho muito antigo
Tentei ser teu futuro, tentei ser teu amigo
O que há de mais seguro também corre perigo


Tentei ficar na minha, tentei ficar contigo
O que há de mais moderno ainda é um sonho muito antigo
Eu tentei ser teu futuro, tentei ser teu amigo
O que há de mais seguro também corre perigo"
