titulo,letra
A Perigo [10.000 Destinos],"1 ContributorA Perigo  Lyrics

Planos de voô
Tava tudo em cima, céu de brigadeiro sobre nós, sobre nós
Pane, pânico
Perdemos a altura, puxaram o tapete voador

Hoje estamos a perigo
Hoje estamos separados, divididos
Mas um dia, um dia
Nós seremos a maioria

Pane, que pena
Panos quentes
Fica tudo como está, no mesmo lugar impunemente

Hoje estamos a perigo
Hoje estamos separados, divididos
Mas um dia, um dia
Nós seremos a maioria


Eu sigo em frente, pra frente eu vou
Eu sigo em frente, pra frente eu vou
Eu sigo em frente, pra frente eu vou
Eu sigo enfrentando a onda onde muita gente naufragou
Ah, ah, ah
Ah, ah, ah
Nós seremos a maioria
Seremos a maioria"
Concreto e Asfalto [10.001 Destinos],"1 ContributorConcreto e Asfalto  Lyrics

Se eu fosse embora agora, será que você entenderia?
Que há um tempo certo para tudo, cedo ou tarde chega o dia
Se eu fosse sem dizer palavra, será que você escutaria?
O silêncio me dizendo que a culpa não foi sua
É que eu nasci com o pé na estrada com a cabeça lá na lua

Não vou ficar
Não vou ficar
Fiz bandeira desses trapos, devorei concreto e asfalto
Fiz bandeira desses trapos, devorei concreto e asfalto

Tenho feito meu caminho, volta e meia fico só
Reconheço os meus defeitos e o efeito dominó
Mas se eu ficasse ao seu lado de nada adiantaria
Se eu fosse um cara diferente, sabe lá como eu seria

Não vou ficar
Não vou ficar
Fiz bandera desses trapos, devorei concreto e asfalto
Fiz bandeira desses trapos, devorei concreto e asfalto

Fiz o meu caminho devorei concreto e asfalto
Fiz o meu caminho devorei concreto e asfalto"
Eu Que Não Amo Você [10.000 Destinos],"1 ContributorEu Que Não Amo Você  Lyrics

Eu que não fumo queria um cigarro, eu que não amo você
Envelheci dez anos ou mais nesse último mês

Senti saudade, vontade de voltar
Fazer a coisa certa, aqui é o meu lugar
Mas sabe como é difícil encontrar
A palavra certa, a hora certa de voltar
A porta aberta, a hora certa de chegar

Eu que não fumo queria um cigarro, eu que não amo você
Envelheci dez anos ou mais nesse último mês
Eu que não bebo pedi um conhaque pra enfrentar o inverno
Que entra pela porta que você deixou aberta ao sair

O certo é que eu dancei sem querer dançar
E agora já nem sei qual é o meu lugar
Dia e noite sem parar procurei sem encontrar
A palavra certa, a hora certa de voltar
A porta aberta, a hora certa de chegar

Eu que não fumo queria um cigarro, eu que não amo você
Envelheci dez anos ou mais nesse último mês
Eu que não bebo pedi um conhaque pra enfrentar o inverno
Que entra pela porta que você deixou aberta ao sair

Eu que não fumo queria um cigarro, eu que não amo você


Eu que não fumo pedi um cigarro, eu que não amo você
Envelheci dez anos ou mais nesse último mês
Eu que não bebo queria um conhaque pra enfrentar o inverno
Que entra pela porta que você deixou aberta ao sair"
Freud Flintstone,"1 ContributorFreud Flintstone Lyrics

Querem sangue, querem lama
Querem à força o beijo na lona e querem ao vivo
Querem a lágrima doída
Do ídolo caindo em câmera lenta
Querem lutar pelo que amam
Conquistar e destruir o que amavam tanto

Faça um prece pra Freud Flintstone
Acenda uma vela pra Freud Flintstone
Sacrifique o bom-senso no seu altar

Na areia da arena
Sai de cena por decreto a flor do deserto
Gran finale, última cena
No ar pelas antenas a morte do toureiro

Faça uma prece pra Freud Flintstone
Acenda uma vela pra Freud Flintstone
Que o satélite lhe seja leve


Esqueça a prece pra Freud Flintstone
Acenda a fogueira pra Freud Flintstone
Vamos queimá-lo vivo, enterrá-lo vivo

O preço é uma prece, pague pra ver, compre o ingresso, adeus Pink Freud Flintstone
Fama, fogo, fúria, fé, fã-clube Freud Flintstone
Que o satélite lhe seja leve"
Novos Horizontes,"1 ContributorNovos Horizontes Lyrics

Corpos em movimento, universo em expansão
O apartamento que era tão pequeno não acaba mais (Não acaba mais)
Vamos dar um tempo, não sei quem deu a sugestão
E aquele sentimento que era passageiro não acaba mais (Não acaba mais)

Quero explodir as grades e voar
Não tenho pra onde ir, mas não quero ficar

Novos horizontes, se não for isso, o que será?
Quem constrói a ponte não conhece o lado de lá

Quero explodir as grades e voar
Eu não tenho pra onde ir, mas não quero ficar
Suspender a queda livre, libertar
O que não tem fim sempre acaba assim
Quero explodir as grades e voar
Não tenho pra onde ir, mas não quero ficar
Suspender a queda livre, libertar
O que não tem fim sempre acaba assim"
Novos Horizontes [10.001 Destinos],"1 ContributorNovos Horizontes  Lyrics

Corpos em movimento, universo em expansão
O apartamento que era tão pequeno não acaba mais (Não acaba mais)
Vamos dar um tempo, não sei quem deu a sugestão
E aquele sentimento que era passageiro não acaba mais (Não acaba mais)

Quero explodir as grades e voar
Não tenho pra onde ir, mas não quero ficar

Novos horizontes, se não for isso, o que será?
Quem constrói a ponte não conhece o lado de lá

Quero explodir as grades e voar
Eu não tenho pra onde ir, mas não quero ficar
Suspender a queda livre, libertar
O que não tem fim sempre acaba assim
Quero explodir as grades e voar
Não tenho pra onde ir, mas não quero ficar
Suspender a queda livre, libertar
O que não tem fim sempre acaba assim"
Números,"2 ContributorsNúmeros Lyrics

Última edição do Guiness Book, corações a mais de 1000
E eu com esses números?
Cinco extinções em massa, 400 humanidades
E eu com esses números?
Solidão a dois, dúvida externa, anos luz
Aos 33, Jesus na cruz, Cabral no mar aos 33
E eu, o que faço com estes números?
Eu, o que faço com estes números?

A medida de amar é amar sem medida
Velocidade máxima permitida
A medida de amar é amar sem medida

Nascimento e Silva 107,
Corrientes tres - cuatro - ocho
E eu com esses números?
Traço de audiência, tração nas quatro rodas
E eu o que faço com estes números?
Sete vidas, mais de 1000 destinos
Todos foram tão cretinos quando elas se beijaram

A medida de amar é amar sem medida
Preparar a decolagem, contagem regressiva
A medida de amar é amar sem medida

Mega, ultra, hiper, micro, baixas calorias
Kilowatts, gigabytes
E eu, o que faço com esses números?
Eu, o que faço com esses números?

A medida de amar é amar sem medida
A medida de amar é amar sem medida
Velocidade máxima permitida
A medida de amar é amar sem medida"
Nunca Se Sabe [10.000 Destinos],"1 ContributorNunca Se Sabe  Lyrics

Sei que parecem idiotas as rotas que eu traço
Mas tento traçá-las eu mesmo
E, se chego sempre atrasado, se nunca sei que horas são
É porque nunca se sabe até que horas os relógios funcionarão
Sem dúvida a dúvida é um fato, sem fatos não sai um jornal
Sem saída ficamos todos presos, aqui dentro faz muito calor
Sempre parecem idiotas, as rotas que eu faço
Sempre tarde da noite
E se ando sempre apressado, se nunca sei que horas são
É porque nunca se sabe, é porque nunca se sabe

Nem sempre faço o que é melhor pra mim
Mas nunca faço o que eu não tô a fim de fazer
Nem sempre faço o que é melhor pra mim
Mas nunca faço o que eu não tô a fim

Não quero perder a razão pra ganhar a vida
Nem perder a vida pra ganhar o pão
Não é que eu faça questão de ser feliz
Eu só queria que parassem de morrer de fome a um palmo do meu nariz
Mesmo que pareçam bobagens as viagens que eu faço
Eu traço meus rumos eu mesmo, a esmo
E se nunca sei a quantas ando, se ando sem direção
É porque nunca se sabe, é porque nunca se sabe

Nem sempre faço o que é melhor pra mim
Mas nunca faço o que eu não tô a fim de fazer
Não viro vampiro, eu prefiro sangrar
Me obrigue a morrer, mas não me peça pra matar, não, nã-não
Nem sempre faço o que é melhor pra mim
Mas nunca faço o que eu não tô a fim de fazer
Não viro vampiro, eu prefiro sangrar
Me obrigue a morrer, mas não me peça pra matar, nã-nã-não"
Quando o Carnaval Chegar,"1 ContributorQuando o Carnaval Chegar Lyrics

Quem me vê sempre parado, distante, garante que eu não sei sambar
Tô me guardando pra quando o carnaval chegar
Eu tô só vendo, sabendo, sentindo, escutando e não posso falar
Tô me guardando pra quando o carnaval chegar
Eu vejo as penas de louça da moça que passa e não posso pegar
Há quanto tempo desejo seu beijo molhado de maracujá
Tô me guardando pra quando o carnaval chegar
E que me ofende, humilhando, pisando, pensando que eu vou aturar
E quem me vê apanhando da vida duvida que eu vá revidar
Tô me guardando pra quando o carnaval chegar
Eu vejo a barra do dia surgindo, pedindo pra gente cantar
Eu tenho tanta alegria, adiada, abafada, quem dera gritar
Tô me guardando pra quando o carnaval chegar
Tô me guardando pra quando o carnaval chegar
Tô me guardando pra quando o carnaval chegar"
Rádio Pirata,"2 ContributorsRádio Pirata Lyrics

Abordar navios mercantes
Invadir, pilhar, tomar o que é nosso
Pirataria nas ondas do rádio
Havia alguma coisa errada com o rei
Preparar a nossa invasão
E fazer justiça com as próprias mãos
Dinamitar um paiol de bobagens
E navegar no mar da tranquilidade

Toquem o meu coração
Façam a revolução
Está no ar nas ondas do rádio
No submundo, repousa o repúdio
Que deve despertar

Disputar em cada frequência
Um espaço nosso nessa decadência
Canções de guerra, quem sabe canções do mar
Canções de amor ao que vai vingar

Toquem o meu coração
Façam a revolução
Está no ar nas ondas do rádio
No submundo repousa o repúdio
Que deve despertar

Toquem o meu coração
Façam a revolução
Toquem o meu coração
Façam a revolução"
