titulo,letra
Além dos Outdoors,"3 ContributorsAlém dos Outdoors Lyrics“Além dos Outdoors,” posteriormente revitalizada no acústico Filmes de Guerra, Canções de Amor, fala sobre como as mensagens que Humberto Gessinger quer passar em suas músicas não chega no grande público por… Read More 

Além dos outdoors, além dos outdoors
Além dos outdoors

No ar da nossa aldeia, há rádio, cinema e televisão
Mas o sangue só corre nas veias por pura falta de opção
As aranhas não tecem suas teias por loucura ou por paixão
Se o sangue ainda corre nas veias, é por pura falta de opção

Você sabe, o que eu quero dizer não tá escrito nos outdoors
Por mais que a gente grite, o silêncio é sempre maior
Você sabe, o que eu quero dizer não tá escrito nos outdoors
Por mais que a gente grite, o silêncio é sempre maior

No céu, além de nuvens, há sexo, drogas e palavrões
As coisas mudam de nome, mas continuam sendo religiões
No dia-a-dia da nossa aldeia, há infelizes enfartados de informação
As coisas mudam de nome, mas continuam sendo o que sempre serão

Você sabe, o que eu quero dizer não tá escrito nos outdoors
Por mais que a gente grite, o silêncio é sempre maior
Você sabe, o que eu quero dizer não vale uma canção
Por mais que a gente cante, o silêncio é sempre maior

No ar da nossa aldeia, há mais do que poluição
Há poucos que já foram e muitos que nunca serão
As aranhas não tecem suas teias por loucura ou por paixão
Se o sangue ainda corre nas veias é por pura falta de opção

Você sabe, o que eu quero dizer não tá escrito nos outdoors
Por mais que a gente grite, o silêncio, o silêncio, o silêncio, o silêncio
Você sabe, o que eu quero dizer não vale uma canção
Por pura falta de opção, púrpura é a cor do coração

Você sabe o que eu quero dizer
Você sabe o que eu quero saber
Você sabe o que eu sei, o que eu quero saber
Você sabe saber o que eu quero dizer
Além dos outdoors, você sabe
Você sabe o que eu quero saber
O que eu quero dizer o que eu quero
Você sabe o que eu sei, você sabe o que eu sei"
A Revolta dos Dândis I,"6 ContributorsA Revolta dos Dândis I LyricsNo livro Infinita Highway: Uma carona com os Engenheiros do Hawaii, biografia da banda que conta a história do grupo desde o início até o rompimento da formação clássica, Humberto Gessinger afirma num trecho… Read More 

Entre um rosto e um retrato, o real e o abstrato
Entre a loucura e a lucidez, entre o uniforme e a nudez
Entre o fim do mundo e o fim do mês
Entre a verdade e o rock inglês, entre os outros e vocês

Eu me sinto um estrangeiro
Passageiro de algum trem
Que não passa por aqui
Que não passa de ilusão
Eu me sinto um estrangeiro
Passageiro de algum trem
Que não passa por aqui
Que não passa de ilusão

Entre mortos e feridos, entre gritos e gemidos
A mentira e a verdade, a solidão e a cidade
Entre um copo e outro da mesma bebida
Entre tantos corpos com a mesma ferida

Eu me sinto um estrangeiro
Passageiro de algum trem (Woah-oh-oh-oh)
Que não passa por aqui (Woah-oh-oh-oh)
Que não passa de ilusão
Eu me sinto um estrangeiro
Passageiro de algum trem (Woah-oh-oh-oh)
Que não passa por aqui (Woah-oh-oh-oh)
Que não passa de ilusão

Entre americanos e soviéticos, gregos e troianos
Entra ano e sai ano, sempre os mesmos planos
Entre a minha boca e a tua, há tanto tempo, há tantos planos
Mas eu nunca sei pra onde vamos

E eu me sinto um estrangeiro
Passageiro de algum trem (Woah-oh-oh-oh)
Que não passa por aqui (Woah-oh-oh-oh)
Que não passa de ilusão
E eu me sinto um estrangeiro
Passageiro de algum trem
Que não passa por aqui, não
Que não passa de ilusão, woah

Eu me sinto um estrangeiro, passageiro de algum trem
Eu me sinto um estrangeiro, passageiro de algum trem
Eu me sinto um estrangeiro, passageiro de algum trem"
A Revolta dos Dândis II,"5 ContributorsA Revolta dos Dândis II Lyrics“A Revolta dos Dândis, ll” segue a mesma influência da primeira parte. Humberto Gessinger continua escrevendo com indiferença sobre as coisas ao seu redor e falta de sentido das mesmas.  O mesmo pode ser… Read More 

Já não vejo diferença entre os dedos e os anéis
Já não vejo diferença entre a crença e os fiéis
Tudo é igual quando se pensa em como tudo deveria ser
Há tão pouca diferença e há tanta coisa a fazer
Esquerda e direita, direitos e deveres, os três patetas, os três poderes
Ascensão e queda são dois lados da mesma moeda
Tudo é igual quando se pensa em como tudo poderia ser
Há tão pouca diferença e tanta coisa a escolher

Nossos sonhos são os mesmos há muito tempo
Mas não há mais muito tempo pra sonhar
Nossos sonhos são os mesmos há muito tempo
Mas não há mais muito tempo pra sonhar

Pensei que houvesse um muro entre o lado claro e o lado escuro
Pensei que houvesse diferença entre gritos e sussurros
Mas foi um engano, foi tudo em vão
Já não há mais diferença entre a raiva e a razão
Esquerda e direita, direitos e deveres, os três porquinhos, os três poderes
Ascensão e queda são dois lados da mesma moeda
Tudo é igual quando se pensa em como tudo deveria ser
Há tantos sonhos a sonhar, há tantas vidas a viver

Nossos sonhos são os mesmos há muito tempo
Mas não há mais muito tempo pra sonhar
Nossos sonhos são os mesmos há muito tempo
Mas não há mais muito tempo pra sonhar


Nossos sonhos são os mesmos há muito tempo
Mas não há mais muito tempo pra sonhar
Nossos sonhos são os mesmos há muito tempo
Mas não há mais muito tempo pra sonhar

Entre um rosto e um retrato, o real e o abstrato (Uo-o)
Entre a loucura e a lucidez, entre o uniforme e a nudez (A-a, a-ua)
Entre os outros e vocês (Uo-o)

Nossos sonhos são os mesmos há muito tempo
Mas não há mais muito tempo pra sonhar

Uo-o, a-a, a-ua, uo-o
Nossos sonhos são os mesmos, os sonhos são os mesmos"
Desde Aquele Dia,"3 ContributorsDesde Aquele Dia Lyrics“Desde Aquele Dia,” assim como “Vozes,” mostra a dualidade da vida de Humberto Gessinger. Muitas vezes, ele prefere a companhia de si mesmo, mas aqui mostra como viver sozinho também é um problema na sua vida.

Desde aquele dia, nada me sacia
Minha vida tá vazia desde aquele dia
Parece que foi ontem
Parece que chovia
Um rosto apareceu, uma heroína
O rosto era o seu, seu rosto de menina
Parece que foi ontem
Parece que chovia
Desde aquele dia, minhas noites são iguais
Se eu não vou à luta, eu não tenho paz
Se eu não faço guerra
Eu não tenho mais paz
Não aguento mais, um dia mais, um dia a menos
São fatais pra quem tem sonhos pequenos
Sonhos tão pequenos
Que nunca têm fim

Eu só queria saber o que você foi fazer no meu caminho
Eu não consigo entender, eu não consigo mais viver sozinho
Eu só queria saber o que você foi fazer no meu caminho
Eu não consigo entender, eu não consigo mais viver sozinho
Viver sozinho, viver sozinho

Desde aquele dia, nada me sacia
Minha vida tá vazia desde aquele dia
Um rosto apareceu, uma heroína
O rosto era o seu, seu rosto de menina
Desde aquele dia, minhas noites são iguais
Se eu não vou à luta, eu não tenho paz
E não aguento mais, um dia mais, um dia a menos
São fatais pra quem tem sonhos pequenos
Sonhos tão pequenos
Que nunca têm fim

Eu só queria saber, eu só queria saber o que você foi fazer no meu caminho
Eu não consigo entender, eu não consigo mais viver sozinho
Eu só queria saber o que você foi fazer no meu caminho
Eu não consigo entender, eu não consigo mais viver sozinho
Viver sozinho, viver sozinho"
"Filmes de Guerra, Canções de Amor","2 ContributorsFilmes de Guerra, Canções de Amor Lyrics“Filmes de Guerra, Canções de Amor” mostra um contraste no título e fala muito sobre as guerras que vivemos, literalmente e metaforicamente. Posteriormente, um disco ao vivo da banda foi nomeado em homenagem… Read More 

Os dias parecem séculos quando a gente anda em círculos
Seguindo ideais ridículos de querer lutar e poder
As roupas na lavanderia, o analista passeando na Europa
As encomendas na Bolívia e nas fotos um sorriso idiota
Os dias parecem séculos e se parecem uns com os outros
Como enfermeiras em filmes de guerra e violinos nas canções de amor
A seguir cenas obscenas do próximo capítulo
É só virar a página e o futuro virá

Filmes de guerra, canções de amor, manchetes de jornal, ou seja lá o que for
Há sempre uma história infeliz, esperando uma atriz e um ator
Há vida na terra, há rumores no ar, dizendo que tudo vai acabar
Mais uma história infeliz, esperando um ator e uma atriz
Não tenho medo de perder a guerra, pois no fim da guerra todos perdem
No fim das contas, as Nações Unidas tão sempre prontas pra desunião
Não tenho medo de perder você, desde o início eu sabia
Era só questão de dias, um dia iria acontecer

Preciso beber qualquer coisa, não me lembre que eu não bebo
O que só nós dois sabemos, nós sabemos que é segredo
Há um guarda em cada esquina esperando o sinal
Pra transformar um banho de piscina numa batalha naval
Agora sinto um medo infantil, mas na hora certa afundaremos o navio
Então, dê um copo de aguardente, um corpo sentindo frio
Preciso beber qualquer coisa, você sabe que eu preciso
E o que só nós dois sabemos já não é mais segredo

Se alguém, seja lá quem for tiver que morrer, na guerra ou no amor
Não me peça pra entender, não me peça pra esquecer
Não me peça para entender, não me peça pra escolher
Entre o fio ciumento da navalha e o frio de um campo de batalha

Chegamos ao fim do dia, chegamos, quem diria?
Ninguém é bastante lúcido pra andar tão rápido
Chegamos ao fim do século, voltamos enfim ao início
Quando se anda em círculos nunca se é bastante rápido"
Guardas da Fronteira,"6 ContributorsGuardas da Fronteira LyricsA Revolta dos Dândis termina de forma apocalíptica, “Guardas da Fronteira” mostra um personagem totalmente fora de si esperando por sua morte. Tem a participação de Julio Reny da banda de rock gaúcha Cowboys… Read More 

Antes de atirar o vaso na TV, eu ouvi o que ela dizia
""Quando não houver mais amanhã, será um belo dia""
Estranha coisa pra se dizer antes de dizer os números da loteria
Mas é assim que eles fazem e fazem muito bem
E nós não fazemos nada, nada, nada, nada além

Além do mito que limita o infinito
E da cegueira dos guardas da fronteira
Hm, além do mito que limita o infinito
E da cegueira dos guardas da fronteira

Antes de atirar minha TV pela janela, eu ouvi o que ela dizia
""Quando não houver mais ninguém, será um belo dia""
Estranha coisa pra se dizer antes de vender mais mercadoria
Mas é assim o mundo que nos cerca, nos cerca muito bem
E as crises e cicatrizes não nos deixam ir além, uou

Além do mito que limita o infinito
E da cegueira das barreiras das fronteiras
Hm, além do mito que limita o infinito
E da cegueira das barreiras das fronteiras, das barreiras das fronteiras

Foi então que eu resolvi jogar
As cartas na mesa e o vaso pela janela
Só pra ver o que acontece na vida
Quando alguém faz o que quer com ela

Acontece que eu não tenho escolha por isso mesmo é que eu sou livre
Não sou eu o mentiroso, foi Sartre quem escreveu o livro
Não sou a fim de violência, mas paciência tem limite

Além do mito que limita o infinito
Além do dia-a-dia que esvazia a fantasia, na, na, na-na-na
Além do mito que limita o infinito
Além do dia-a-dia que esvazia a fantasia, que esvazia a fantasia
Que esvazia a fantasia, ah, que esvazia a fantasia
Que esvazia a fantasia, ah, que esvazia a fantasia
Que esvazia a fantasia, ah, que esvazia a fantasia
Que esvazia a fantasia, ah, que esvazia a fantasia
Que esvazia, esvazia, esvazia, esvazia"
Infinita Highway,"12 ContributorsInfinita Highway LyricsUm dos maiores sucessos dos Engenheiros do Hawaii, “Infinita Highway,” fala sobre o ciclo da vida, as vitórias e derrotas. Segundo o próprio Humberto Gessinger, é a música que mais traduz o amor dele para… Read More 

Você me faz correr demais
Os riscos desta highway
Você me faz correr atrás
Do horizonte desta highway
Ninguém por perto, o silêncio no deserto
Deserta highway
Estamos sós e nenhum de nós
Sabe exatamente onde vai parar

Mas não precisamos saber pra onde vamos
Nós só precisamos ir
Não queremos ter o que não temos
Nós só queremos viver
Sem motivos, nem objetivos
Estamos vivos e isto é tudo
É sobretudo a lei
Da Infinita Highway

Quando eu vivia e morria na cidade
Eu não tinha nada, nada a temer
Mas eu tinha medo, medo dessa estrada
Olhe só, veja você
Quando eu vivia e morria na cidade
Eu tinha de tudo, tudo ao meu redor
Mas tudo que eu sentia era que algo me faltava
E à noite eu acordava banhado em suor

Não queremos lembrar o que esquecemos
Nós só queremos viver
Não queremos aprender o que sabemos
Não queremos nem saber
Sem motivos, nem objetivos
Estamos vivos e é só
Só obedecemos à lei
Da Infinita Highway (Highway)
Oh, Highway

Escute, garota, o vento canta uma canção
Dessas que a gente nunca canta sem razão
Me diga, garota, será a estrada uma prisão?
Eu acho que sim, você finge que não
Mas nem por isso ficaremos parados
Com a cabeça nas nuvens e os pés no chão
Tudo bem, garota, não adianta mesmo ser livre
Se tanta gente vive sem ter como viver

Estamos sós e nenhum de nós
Sabe onde quer chegar
Estamos vivos sem motivos
Que motivos temos pra estar?
Atrás de palavras escondidas
Nas entrelinhas do horizonte
Desta Highway
Silenciosa Highway (Highway)

Eu vejo o horizonte trêmulo
Eu tenho os olhos úmidos
Eu posso tá completamente enganado
Eu posso tá correndo pro lado errado
Mas a dúvida é o preço da pureza
E é inútil ter certeza
Eu vejo as placas, dizendo:
""Não corra, não morra, não fume""
Eu vejo as placas cortando o horizonte
Elas parecem facas de dois gumes


Minha vida é tão confusa quanto América Central
Por isso não me acuse de ser irracional
Escute, garota, façamos um trato
Você desliga o telefone se eu ficar muito abstrato
Eu posso ser um Beatle, um beatnik ou um bitolado
Mas eu não sou ator, eu não tô à toa do teu lado
Por isso, garota, façamos um pacto
De não usar a Highway pra causar impacto

Cento e dez, cento e vinte
Cento e sessenta
Só pra ver até quando
O motor aguenta
Na boca, em vez de um beijo, um chiclé de menta
E a sombra do sorriso que eu deixei
Numa das curvas da Highway (Highway)
Oh, highway (Highway)
Infinita Highway (Highway)
Oh Highway (Highway)
Infinita Highway (Highway)
Oh, oh, Highway (Highway)
Highway (Highway)
Oh, oh Highway (Highway)"
Quem Tem Pressa Não Se Interessa,"2 ContributorsQuem Tem Pressa Não Se Interessa Lyrics

Quando você me olha com seu olhar tranquilo
Sempre diz que falta algo, ou isto ou aquilo
Quando você me olha com seu olhar tranquilo
Sempre diz que falta algo, questões de estilo

Quando você me olha com seu olhar tranquilo
Sempre diz que falta algo, ou isto ou aquilo
Você não entende e se surpreende, seu olhar já não tá tranquilo
Mas quem tem pressa não se interessa por questões de estilo
Questões de estilo
As vozes oficiais dizem, ""Quem sabe,"" dizem, ""Talvez""
Enquanto os vídeos e as revistas mostram imagens sem nitidez
Você se espanta, há tanta coisa nos jornais
Mas quem tem pressa não se interessa em andar rápido demais
Rápido demais
Eles têm razão, mas a razão é só o que eles têm
A lâmina ilumina a mão, a lâmpada cria a escuridão
Há muita grana atrás de uma canção, ninguém se engana com uma canção
O tempo que nos gera também gera generais, mas o tempo nunca espera que cheguem os comerciais
Os comerciais, som

Nas veias abertas da América, menina
Um mar vermelho de sangue leva navios piratas
Negociatas, concordatas, candidatos democratas
Sucos e sucatas, ternos e gravatas
Secando cataratas e lavando as mãos
Dando a impressão de que na areia movediça nada se desperdiça
Os comerciais, os comerciais
Os comerciais, os comerciais"
Refrão de Bolero,"3 ContributorsRefrão de Bolero Lyrics“Refrão de Bolero” é uma das músicas mais conhecidas dos Engenheiros do Hawaii, mas fez sucesso apenas depois da exibição de uma versão ao vivo na MTV nos anos 90.
A canção fala sobre um relacionamento… Read More 

E eu que falei, ""Nem pensar,"" agora me arrependo
Roendo as unhas, frágeis testemunhas de um crime sem perdão
Mas eu falei sem pensar, coração na mão
Como o refrão de um bolero, eu fui sincero como não se pode ser
Um erro assim tão vulgar nos persegue a noite inteira
E quando acaba a bebedeira, ele consegue nos achar
Num bar com um vinho barato
Um cigarro no cinzero e uma cara embriagada no espelho do banheiro

Ana, teus lábios são labirintos, Ana
Que atraem os meus instintos mais sacanas
O teu olhar sempre distante sempre me engana

E eu que falei, ""Nem pensar,"" agora me arrependo
Roendo as unhas, frágeis testemunhas de um crime sem perdão
Mas eu falei sem pensar, coração na mão
Como o refrão de um bolero, eu fui sincero como não se pode ser
Um erro assim tão vulgar nos persegue a noite inteira
E quando acaba a bebedeira, ele consegue nos achar
Num bar, oh

Ana, teus lábios são labirintos, Ana
Eu sigo a tua pista todo dia da semana
Eu entro sempre na tua dança de cigana


Ana, teus lábios são labirintos, Ana
Que atraem os meus instintos mais sacanas
E o teu olhar sempre distante sempre me engana
É e eu sigo a tua pista todo dia da semana
Todo dia, todo dia da semana
Eu sigo a tua pista todo dia da semana
Ana


E eu falei foi sem pensar
Foi sem pensar"
Terra de Gigantes,"7 ContributorsTerra de Gigantes LyricsA música faz uma crítica à nova forma da sociedade atual, a qual a juventude só tem espaço nas propagandas, reprimindo seu caráter revolucionário e poder de mudanças; trazendo a essa juventude uma sensação de… Read More 

Ei, mãe, eu tenho uma guitarra elétrica
Durante muito tempo isso foi tudo o que eu queria ter
Mas ei, mãe, alguma coisa ficou pra trás
Antigamente, eu sabia exatamente o que fazer
Ei, mãe, tenho uns amigos tocando comigo
Eles são legais, além do mais, não querem nem saber
Mas agora, lá fora, todo mundo é uma ilha
A milhas e milhas e milhas de qualquer lugar

Nessa terra de gigantes
Eu sei, já ouvimos tudo isso antes
A juventude é uma banda
Numa propaganda de refrigerantes

As revistas, as revoltas, as conquistas da juventude
São heranças, são motivos pras mudanças de atitude
Os discos, as danças, os riscos da juventude
A cara limpa, a roupa suja, esperando que o tempo mude

Nessa terra de gigantes
Tudo isso já foi dito antes
A juventude é uma banda
Numa propaganda de refrigerantes

Ei, mãe, já não esquento a cabeça
Durante muito tempo isso foi só o que eu podia fazer
Mas, ei, ei, mãe, por mais que a gente cresça
Há sempre coisas que a gente não pode entender
Por isso, mãe, só me acorda quando o sol tiver se posto
Eu não quero ver meu rosto antes de anoitecer
Pois agora lá fora, o mundo todo é uma ilha
A milhas e milhas e milhas e milhas e milhas e milhas

Nessa terra de gigantes
Que trocam vidas por diamantes
A juventude é uma banda
Numa propaganda de refrigerantes


Nessa terra de gigantes
Que trocam vidas por diamantes
A juventude é uma banda
Numa propaganda de refrigerantes

Ei, mãe (Ei, mãe)"
