titulo,letra
3 Minutos,"1 Contributor3 Minutos Lyrics

Se você me der três minutos
Vai entender o que eu sinto
Eu não sou santo, mas não minto
Não vou mentir se você me der três minutos
Se você me der uma chance
Não vou deixar que a gente dance
Esqueça o que pensa que sabe
Duvide da crença e quem sabe?
Vai sentir o que eu sinto
Se você me der três minutos

Só acredito no que pode ser dito em três minutos
Por isso eu grito, só te peço três minutos

No caos me sinto à vontade
A tempestade é meu elemento
No pampa, o vento, violino minuano
Na fria janela de um apartamento
À espera do salto, perigo, suspense
No alto inverno porto-alegrense
À espera do salto, perigo, suspense, yeah

Só acredito no que pode ser dito em três minutos
Eu grito e repito, só te peço três minutos


Só acredito no que pode ser dito em três minutos
Eu grito e repito, só te peço três minutos
Só acredito no que pode ser dito em três minutos
Por isso eu peço aos quatro ventos, três minutos"
A Ilha Não Se Curva,"1 ContributorA Ilha Não Se Curva Lyrics

Presente em tudo que eu faço
Em qualquer hora e lugar
Em toda esquina em cada passo
Profana luz a me guiar

Vida afora, noite adentro
Vida afora, noite adentro

Impressa em cada gesto meu
Brilha a luz no fim do túnel
Cores capazes de cegar
Quem tem medo de entregar-se

Vida afora, noite adentro
Vida afora, noite adentro
Vida afora, noite adentro

Inimigos na trincheira
Guantanamera militar
E a ilha não se curva
Às águas turvas desse mar

Vida afora, noite adentro
Vida afora, noite adentro
Vida afora, noite adentro
Vida afora, noite adentro"
Alucinação,"1 ContributorAlucinação Lyrics

Eu não tô interessado em nenhuma teoria
Em nenhuma fantasia nem no algo mais
Longe o profeta do terror que a laranja mecânica anuncia
Amar e mudar as coisas me interessa mais
Muito mais, me interessa

Eu não tô interessado em nenhuma teoria
Nessas coisas do oriente, romances astrais
Minha alucinação é suportar o dia-a-dia
Meu delírio é a experiência com coisas reais
Um preto, um pobre, um estudante, uma mulher sozinha
Blue jeans e motocicletas, pessoas cinzas normais
Garotas dentro da noite, revólver, cheira cachorro
Os humilhados do parque com os seus jornais
Me interessam

Amar e mudar as coisas, amar e mudar as coisas me interessa mais
Amar e mudar as coisas, amar e mudar as coisas me interessa mais

Um corpo cai do oitavo andar
A solidão das pessoas nessas capitais
A violência da noite o movimento do trâfego
Amar e mudar, amar e mudar

Amar e mudar as coisas, amar e mudar as coisas me interessa mais

Eu não tô interessado em nenhuma teoria
Em nenhuma fantasia, nem no algo mais
Longe o profeta do terror que a laranja mecânica anuncia
Amar e mudar as coisas me interessa mais

Amar e mudar as coisas, amar e mudar as coisas me interessa mais
Amar e mudar as coisas, amar e mudar as coisas me interessa mais
Amar e mudar as coisas, amar e mudar as coisas me interessa mais
Amar e mudar, amar e mudar"
A Montanha,"1 ContributorA Montanha Lyrics

Nem tão longe que eu não possa ver, nem tão perto que eu possa tocar
Nem tão longe que eu não possa crer que um dia chego lá
Nem tão perto que eu possa acreditar que o dia já chegou

No alto da montanha, num arranha-céu
No alto da montanha, num arranha-céu

Se eu pudesse, ao menos, te contar o que se enxerga lá do alto
Com o céu aberto, limpo e claro, ou com os olhos fechados
Se eu pudesse, ao menos, te levar comigo lá

Pro alto da montanha, num arranha-céu
Pro alto da montanha, num arranha-céu
Sem final feliz ou infeliz, atores sem papel
No alto da montanha, à toa, ao léu

Nem tão longe, impossível
Nem tampouco lá, já


No alto da montanha, num arranha-céu
No alto da montanha, num arranha-céu
Sem final feliz ou infeliz, atores sem papel
No alto da montanha, num arranha-céu"
Banco,"1 ContributorBanco Lyrics

Deve haver alguma coisa que ainda te emocione
Deve haver alguma coisa que ainda te emocione

Tudo errado no teu banco de dados
Futuro presetado, passado deletado
Eu sinto te informar, tu estás mal informado

Deve haver alguma coisa que ainda te emocione
Uma garota, um bom combate, um gol aos 46
Deve haver alguma coisa que ainda te emocione

Te vejo sentado no banco dos réus
Pra falir a banca bancando o coitado
Quanto mais culpado, melhor o advogado

Deve haver alguma coisa que ainda te emocione
Um cavalo em disparada, pijamas, nada pra fazer
Deve haver alguma coisa que ainda te emocione

Tudo guardado num banco americano
A sete chaves, o sétimo céu
Eu sinto te informar, o banco foi roubado
É o velho jogo, pedra, tesoura e papel

Deve haver alguma coisa que ainda te emocione
Um vinho tinto, um copo d'água, a chuva no telhado, um pôr-de-sol
Deve haver alguma coisa que ainda te emocione

Deve haver alguma coisa que ainda te emocione
Deve haver alguma coisa que ainda te emocione
Deve haver alguma coisa que ainda te emocione"
Deserto Freezer,"1 ContributorDeserto Freezer Lyrics

Se é o medo que te move, não se mexa, fique onde está
Se é o ódio que te inspira, não respire o ar viciado desse lugar
Se é o medo que te move, não se mexa, fique onde está
Se é o ódio que te inspira, não respire o ar viciado desse lugar

Eu tenho medo do medo que as pessoas têm
Eu tenho medo do medo que as pessoas têm
O sol nasce pra todos todo dia de manhã
O mal nasce do medo da escuridão

Nesse deserto freezer, carnaval e solidão
Andam lado a lado em perfeito estado de conservação
É um navio fantasma, um cemitério de automóveis
É um deserto freezer, 0 Kelvin, perfeição

Eu tenho medo do medo que as pessoas têm
Eu tenho medo do medo que as pessoas têm
O mal nasce do medo como o ovo e a galinha
Nasce do medo, do medo que as pessoas têm


Eu tenho medo do medo que as pessoas têm
Eu tenho medo do medo que as pessoas têm
O sol nasce pra todos todo dia de manhã
O mal nasce do medo da escuridão
Eu tenho medo do medo que as pessoas têm
Eu tenho medo do medo que as pessoas têm
O sol nasce pra todos todo dia de manhã
Eu tenho medo da escuridão"
Faz Parte,"1 ContributorFaz Parte Lyrics

Por um pedaço de pão, por uma história pra contar
Por acaso, por um triz, só pra contrariar tua direção
Tua mão a indicar o rumo certo, o caminho mais curto
Não vou agora, não, não quero te encontrar
Preciso me perder como preciso de ar
Perder o rumo é bom se perdido a gente encontra
Um sentido escondido em algum lugar

Devolva-me o que você levou ou
Leve-me contigo, perca-se comigo
Devolva-me o que você levou ou
Leve-me contigo, perca-se comigo

Sempre me perco pelas mesmas ruas
Não trago mapas, não leio as placas
Não sigo pegadas quando sei que são tuas, 
Não vou agora, não, não quero te encontrar
Preciso me perder como preciso de ar
Se perdi o tom foi pra escapar da tua atração
Canto de sereia em alto mar

Devolva-me o que você levou ou
Leve-me contigo, perca-se comigo
Devolva-me o que você levou ou
Leve-me contigo, perca-se comigo


Devolva-me o que você levou ou
Leve-me contigo, perca-se comigo
Devolva-me o que você levou ou
Leve-me contigo, leve-me contigo"
Humano Demais,"2 ContributorsHumano Demais Lyrics

Eu, e eu, e eu

De tudo que é humano nada me é estranho
Se o mar não tá pra peixe desse tamanho
Eu não esquento, eu não me iludo
Eu troco em miúdos o primeiro toque

Nada pode ser maior
Nada pode ser maior

De tudo que é humano nada me é estranho
Fruto e semente, criatura e criador
As curvas da estrada, as pedras no caminho
Os filmes de guerra e as canções de amor

Nada pode ser maior
Nada pode ser maior

De tudo que acontece, nada me surpreende
Tudo me parece tão normal
Um big mac, maktub
Drops de Deus, filosofia fast-food

Nada pode ser maior
Nada pode ser maior
Nada pode ser maior

Não é ciência exata, não acontece em tempo real
É demais, humano demais
Não é ciência exata, não acontece em tempo real
É demais, animal


Não é ciência exata, não acontece em tempo real
É demais, humano demais
Não é ciência exata, não acontece em tempo real
É demais, animal

E agora somos só nós dois, eu e minha circunstância
Sempre foi só nós dois, eu e minha circunstância
Sempre só nós dois, eu e eu e eu e eu e eu e eu

Não é ciência exata, não acontece em tempo real
É demais, humano demais
Não é ciência exata, não acontece em tempo real
É demais, animal

Não é ciência exata, não é ciência exata
Não é, nada pode ser
Maior"
Nove Zero Cinco Um,"1 ContributorNove Zero Cinco Um Lyrics

Não quero jogar fora o pouco tempo que nos resta
Não quero jogar lenha na fogueira das vaidades
Só tenho uma ficha, uma única certeza
Ninguém vai aceitar chamadas a cobrar

Ninguém vai aceitar chamadas a cobrar
Ninguém vai aceitar chamadas a cobrar

Não adianta reclamar do pouco tempo que nos resta
Nos resta aproveitar antes que seja tarde
Só temos uma escolha, um momento apenas
Ou a vida inteira pra se arrepender
Caiu, a última ficha caiu
Vai cair a ponte, nós vamos cair no rio
Águas vão rolar, o tempo vai passar
Mas ninguém vai aceitar chamadas a cobrar

Ninguém vai aceitar chamadas a cobrar
Ninguém vai aceitar chamadas a cobrar


Ninguém vai aceitar chamadas a cobrar
Ninguém vai aceitar chamadas a cobrar"
Nuvem,"1 ContributorNuvem Lyrics

Se está com ele está sozinha
E sozinha não quer mais ficar
Se está com ele é por que quer
Porque não quer mudar

Diga adeus, diga adeus ou não diga nada
Diga adeus

Se esta chegando o fim da linha
Tá na hora de saltar
Se está com ele, está sozinha
E sozinha não quer mais ficar

Diga adeus, diga adeus ou não diga nada
Diga adeus
Não vá perder a hora certa com a pessoa errada
Diga adeus, adeus

A vida não pode ser um contagotas na tua mão
Chuva que não chove, sol que não sai
A vida não pode ser medida com precisão
Motor que não se move, nuvem que não se vai

Se está com ele, está sozinha
E sozinha não quer mais ficar
Se está chegando o fim da linha
Tá na hora de saltar

Não vá perder a vida inteira com a pessoa errada
Diga adeus, diga adeus
Vai chover, vai secar, serão águas passadas
Diga adeus, adeus"
Outros Tempos,"1 ContributorOutros Tempos Lyrics

Quando te vi tive a impressão de que não era a primeira vez
Quando te vi tive certeza de que não seria a última vez
Não, não seria a última vez
Quem vem lá? Quem será? Que passa como um filme na fumaça de um bar
Quem vem lá? Quem será? Que vai me salvar a vida outra vez
Vai fazer de novo o que nunca fez

Os tempos são outros
Os erros, os mesmos
Os tempos são outros
Os erros, os mesmos
Me diz como é que eu faço
Me diz como é que eu posso
Te encontrar mais uma vez

Quando te vi tive a impressão de que não era a primeira vez
Quando te vi tive certeza de que não seria a última vez
Não, não seria a última vez
Quem vem lá? Quem será? Que passa como um filme na fumaça de um bar
Quem vem lá? Quem será? Que vai me salvar a vida outra vez
Vai fazer de novo o que nunca fez

Os tempos são outros
Os erros, os mesmos
Os tempos são outros
Os erros, os mesmos
Os tempos são outros
Os erros, os mesmos


Os tempos são outros
Os erros, os mesmos
Os tempos são outros
Os erros, os mesmos
Me diz como é que eu faço
Me diz como é que eu posso
Te encontrar mais uma vez

Pela primeira vez, mais uma vez
Pela primeira vez, mais uma vez
Pela primeira vez, mais uma vez"
Sem Problema,"1 ContributorSem Problema Lyrics

Chame do jeito que você quiser, medo, coragem ou amor
Faça disso o que quiser, é um presente que eu te dou

Só não tente me dizer o que é melhor pra mim
Quem pode saber?
Não venha me explicar o que eu sinto por você
Sou o primeiro a saber

Seja o que for, esteja onde estiver, teu homem, tua mulher
Vício, virtude ou amor, chame do jeito que quiser

Só não tente me dizer o que é melhor pra mim
Quem pode saber?
Não venha me dizer que eu te machuquei
Você sabe como eu sou
Como eu era e serei, só você pode saber

Entenda o meu corpo, batimentos por minuto
Minha história, meus quilômetros por hora
Entenda meu canto, meus tantos por cento
Meus contos de réis, tantos por mês
Entenda meu corpo, sal e litros d'água
Em centímetros ao cubo, em silêncio, por favor

Só não tente me dizer o que é melhor pra mim
Ninguém pode saber
Não venha me explicar o que eu sinto por você
Sou o primeiro a saber

O primeiro a saber
O primeiro a saber"
