titulo,letra
10.000 Destinos,"1 Contributor10.000 Destinos Lyrics

Há mais de mil destinos em cada esquina
Outras vidas esperando em cada esquina
Há quase mil motivos pra gente ignorar
O que ouve e o que vê em cada esquina
Uma vitrine muito bandeira
Um imã na geladeira
Alça de mira, lente de aumento
Vampiro em frente ao espelho

Por que será, me diz, por que será?
Que a gente cruza o rio atrás de água
E diz que não está nem aí
Nem aí
Nem aí

Gritos na torcida, sinos na catedral
Uma palavra omitida no hino nacional
Tambores, motores, pulso e coração
Um minuto de silêncio antes da explosão

Por que será, me diz, por que será?
Que a gente cruza o rio atrás de água
E diz que não está nem aí
Nem aí
Finge que não está nem aí


Então, por que será, me diz, por que será?
Que a gente cruza o rio atrás de água
E diz que não está nem aí
Nem aí
Finge que não está nem aí
Nem aí"
3x4,"3 Contributors3x4 Lyrics

Diga a verdade ao menos uma vez na vida
Você se apaixonou pelos meus erros
Não fique pela metade, vá em frente, minha amiga
Destrua a razão deste beco sem saída
Diga a verdade, ponha o dedo na ferida
Você se apaixonou pelos meus erros
E eu perdi as chaves, mas que cabeça a minha
Agora vai ter que ser para toda a vida

Somos o que há de melhor
Somos o que dá pra fazer
O que não dá pra evitar
E não se pode escolher

Se eu tivesse a força que você pensa que eu tenho
Eu gravaria no metal da minha pele o teu desenho
Feitos um pro outro, feitos pra durar
Uma luz que não produz sombra

O que não dá pra evitar
E não se pode escolher
Somos o que há de melhor
Somos o que dá pra fazer
O que não dá pra evitar
E não se pode escolher"
Até Mais,"1 ContributorAté Mais Lyrics

Não foi assim que eu sonhei a nossa vida
A despedida seria até logo mais
Mas a vida não permite ensaios
Não há raios antes do trovão
Não olhe pra mim como se eu fosse invisível
Como se fosse possível enxergar nessa escuridão
Não, não, não olhe pra trás, odeio despedidas
Diga até mais, mesmo se for adeus

Eu, você e mais ninguém
Só nós dois, nada mais a nosso favor
Eu, você e mais ninguém
Um mundo estranho queimava sonhos ao nosso redor
Eu e você

Não foi assim que eu sonhei a nossa vida
A despedida seria até logo mais
Mas numa guerra ninguém mede consequências
A gente erra, depois pede perdão

Eu, você e mais ninguém
Só nós dois, nada mais a nosso favor
Eu, você e mais ninguém
Só nós dois, ninguém mais ao nosso redor

Não podia durar para sempre
Não podia ser diferente
Não poderia ter sido melhor
Ah, eu e você

Eu, você e mais ninguém
Só nós dois e nada mais
Eu, você e mais ninguém
Só nós dois e nada mais (Nada mais, nada mais)
Eu, você e mais ninguém (Mais ninguém)
Só nós dois e nada mais (Nada mais)
Eu, você e mais ninguém
Só nós dois e nada mais"
Concreto e Asfalto,"1 ContributorConcreto e Asfalto Lyrics

Se eu fosse embora agora, será que você entenderia?
Que há um tempo certo para tudo, cedo ou tarde chega o dia
Se eu fosse sem dizer palavra, será que você escutaria?
O silêncio me dizendo que a culpa não foi sua
É que eu nasci com o pé na estrada com a cabeça lá na lua

Não vou ficar
Não vou ficar
Fiz bandeira desses trapos, devorei concreto e asfalto
Fiz bandeira desses trapos, devorei concreto e asfalto

Tenho feito meu caminho, volta e meia fico só
Reconheço os meus defeitos e o efeito dominó
Mas se eu ficasse ao seu lado de nada adiantaria
Se eu fosse um cara diferente, sabe lá como eu seria

Não vou ficar
Não vou ficar
Fiz bandera desses trapos, devorei concreto e asfalto
Fiz bandeira desses trapos, devorei concreto e asfalto

Fiz o meu caminho devorei concreto e asfalto
Fiz o meu caminho devorei concreto e asfalto"
Cruzada,"1 ContributorCruzada Lyrics

Não sei andar sozinho por essas ruas
Sei do perigo que nos rodeia pelos caminhos
Não há sinal de sol, mas tudo me acalma no seu olhar
Não quero ter mais sangue morto nas veias
Quero o abrigo do seu abraço que me incendeia
Não há sinal de cais, mas tudo me acalma no seu olhar

Você parece comigo, nenhum senhor lhe acompanha
Você também se dá um beijo, dá abrigo
Flor nas janelas da casa, olho no seu inimigo
Você também se dá um beijo, dá abrigo, se dá um riso, dá um tiro

Não quero ter mais sangue morto nas veias
Quero o abrigo do seu abraço que me incendeia
Não há sinal de paz, mas tudo me acalma no seu olhar

Você parece comigo, nenhum senhor lhe acompanha
Você também se dá um beijo, dá abrigo
Flor nas janelas da casa, olho no seu inimigo
Você também se dá um beijo, dá abrigo, se dá um riso, dá um tiro


Você parece comigo, nenhum senhor lhe acompanha
Você também se dá um beijo, dá abrigo
Flor nas janelas da casa, olho no seu inimigo
Você também se dá um beijo, dá abrigo, se dá um riso, dá um tiro
Se dá um beijo, dá abrigo, se dá um riso, dá um tiro
Se dá um beijo, dá abrigo, um tiro
Abrigo
Se dá um riso, dá um tiro"
Eu Que Não Amo Você,"1 ContributorEu Que Não Amo Você Lyrics

Eu que não fumo queria um cigarro, eu que não amo você
Envelheci dez anos ou mais nesse último mês

Senti saudade, vontade de voltar
Fazer a coisa certa, aqui é o meu lugar
Mas sabe como é difícil encontrar
A palavra certa, a hora certa de voltar
A porta aberta, a hora certa de chegar

Eu que não fumo queria um cigarro, eu que não amo você
Envelheci dez anos ou mais nesse último mês
Eu que não bebo pedi um conhaque pra enfrentar o inverno
Que entra pela porta que você deixou aberta ao sair

O certo é que eu dancei sem querer dançar
E agora já nem sei qual é o meu lugar
Dia e noite sem parar procurei sem encontrar
A palavra certa, a hora certa de voltar
A porta aberta, a hora certa de chegar

Eu que não fumo queria um cigarro, eu que não amo você
Envelheci dez anos ou mais nesse último mês
Eu que não bebo pedi um conhaque pra enfrentar o inverno
Que entra pela porta que você deixou aberta ao sair

Eu que não fumo queria um cigarro, eu que não amo você


Eu que não fumo pedi um cigarro, eu que não amo você
Envelheci dez anos ou mais nesse último mês
Eu que não bebo queria um conhaque pra enfrentar o inverno
Que entra pela porta que você deixou aberta ao sair"
Melhor Assim,"1 ContributorMelhor Assim Lyrics

Foi cruel, mas foi melhor assim
Sei que dói quando chega o fim
Dores que ninguém nunca sentiu
É o sentimento mais comum
Já vi o fim do mundo algumas vezes
E na manhã seguinte tava tudo bem

Melhor pra você se ela foi embora
Melhor pra você se ela foi embora
Melhor assim

Digo de coração, muito melhor assim
Mas talvez fosse melhor ficar calado
Já vi o fim do mundo algumas vezes
É o sentimento mais comum

Melhor pra você se ela foi embora
Melhor pra você se ela foi embora
Melhor assim

Foi o fim de uma viagem e o guia estava errado
Mas há estrelas atrás das nuvens no céu da pátria nesse instante
Há um porto escondido no coração do viajante

Melhor pra você se ela foi embora
Melhor pra você se ela foi embora
Melhor pra você se ela foi embora
Melhor assim (Melhor assim)


Melhor pra você se ela foi embora
Melhor pra você se ela foi embora
Melhor pra você se ela foi embora
Melhor pra você se ela foi embora
Muito melhor assim
Melhor assim"
Nada Fácil,"1 ContributorNada Fácil Lyrics

Neurotransmissores, mísseis na pressão
A vida em cada curva dispara o coração
Nada fácil, cara, euforia e depressão
Muitas pedras no caminho e uma flor em cada mão
Tchau, Radar
Eu vou saltar
Não é nada fácil, cara, euforia e depressão
Muitas flores no caminho e uma pedra em cada mão

Reza a lenda que a gente nasceu pra ser feliz
Que o crime não compensa e tudo conspira a favor
Reza a lenda que a noite é uma criança
Envolta da fogueira a tribo dança

Pra celebrar e descerebrar
Pra celebrar e descerebrar

Neurotransmissores, mísseis na pressão
A vida em cada curva, no limiar da dor
Entre a vertigem de um cavalo alado
E o óleo diesel de um cavalo-vapor

Reza a lenda que a gente nasceu pra ser feliz
Que o crime não compensa e tudo conspira a favor
Reza a lenda que a noite é uma criança
Em volta da fogueira a tribo dança

Pra celebrar e descerebrar
Pra celebrar e descerebrar

Te quiero
Tequila

Reza a lenda que agente nasceu pra ser feliz
Que o crime não compensa e tudo conspira a favor
Reza a lenda que a noite é uma criança
Em volta da fogueira a tribo inteira

Quer celebrar e descerebrar
Quer celebrar e descerebrar
Quer celebrar e descerebrar
Quer celebrar e descerebrar"
Na Real,"1 ContributorNa Real Lyrics

Encontrei depois de tanto tempo
Viajei, passei o passado a limpo
Dei um rewind, revi tudo em fast-forward
Encontrei depois de tanto procurar

Será que você existe?

Doze horas há mais de uma semana
Piscam as luzes no videocassete
Doze meses, lá se vai um ano
E o outono parece não passar

Será que você existe?

Encontrei depois de tanto tempo
Em vidas passadas, em noites passadas em branco
Olho para o lado e nada vejo
Já não sei o que é verdade e o que é desejo

Será que você existe?
Será fruto da imaginação?

Miragens, fantasmas, OVNIs
E o que mais for preciso para ser feliz
Meu coração visionário tá legal
E dispensa comentários, ele nem pensa na real

Será que você existe?
Será fruto da imaginação?
Será que você existe? (Miragens, fantasmas, viagens no tempo)
Será fruto da imaginação?
Será que você existe? (Delírio, desejo, vozes e visões)
Será?"
Negro Amor,"2 ContributorsNegro Amor Lyrics

Vá, se mande, junte tudo que você puder levar
Ande, tudo que parece seu é bom que agarre já
Seu filho feio e louco ficou só
Chorando feito fogo à luz do sol
Os alquimistas já estão no corredor
E não tem mais nada negro, amor

A estrada é pra você e o jogo é a indecência
Junte tudo que você conseguiu por coincidência
E o pintor de rua que anda só
Desenha maluquice em seu lençol
Sob seus pés, o céu também rachou
E não tem mais nada negro, amor
E não tem mais nada negro, amor

Seus marinheiros mareados abandonam o mar
Seus guerreiros desarmados não vão mais lutar
Seu namorado já vai dando o fora
Levando os cobertores, e agora?
Até o tapete sem você voou
E não tem mais nada negro, amor
E não tem mais nada
Negro, amor

As pedras do caminho deixe para trás
Esqueça os mortos eles não levantam mais
E o vagabundo esmola pela rua
Vestindo a mesma roupa que foi sua
Risque outro fósforo, outra vida, outra luz, outra cor
E não tem mais nada negro, amor
E não tem mais nada negro, amor
E não tem mais nada negro, amor
Não tem mais nada negro, amor
E não tem mais nada negro, amor
Não tem mais nada negro, amor
Não tem mais nada negro, amor"
